image,MAE,Sm,wFm,Em
1002,0.08005299419164658,0.6902218203779299,0.3860621930301635,0.8578209274781565
1003,0.11181094497442245,0.6502880936866052,0.5374829134833036,0.5528462535278009
1004,0.13046696782112122,0.5393884014835604,0.10347526496613448,0.5227842332404551
1005,0.1915724128484726,0.4053829057958456,0.013524368596419836,0.25151050857923674
1006,0.5112847685813904,0.2832891265838627,0.263267752077935,0.285891710304697
1007,0.14150592684745789,0.5103872715608556,0.046512108383651274,0.38293372487340743
1008,0.06867793947458267,0.5790489469465392,0.17248421638922437,0.5068269211225253
1009,0.03937429189682007,0.8431594579064472,0.7306460692502401,0.8135743436172885
101,0.13644398748874664,0.5330165995215286,0.14693697982218895,0.7459362597052012
1010,0.054973166435956955,0.4952221513516834,0.04183159685953142,0.34145375365220576
1011,0.0341484434902668,0.8151055981066324,0.4753641351720235,0.8748881743951766
1014,0.13836266100406647,0.8341093964479376,0.8547154978263491,0.8088386147724419
1015,0.06181946024298668,0.6267395172159947,0.2765027320187532,0.6557017034427511
1016,0.16113561391830444,0.5764202776307945,0.48365812266201125,0.5965881843390586
1017,0.06102818250656128,0.5272755879797277,0.17099264545907475,0.7524161774853249
1018,0.13904361426830292,0.842008921530015,0.8270751289099969,0.8195989558090347
1019,0.03240527585148811,0.5298140675711771,0.1625571068199773,0.3298632260508212
102,0.0635976493358612,0.841793572465283,0.5827607468061642,0.8901389842524015
1021,0.09806183725595474,0.4627393659478689,0.11498496326501911,0.29043124686671845
1022,0.09587536752223969,0.45610007440183187,0.0658294192589146,0.2651318451543744
1023,0.026920272037386894,0.5576053672976548,0.08971656441035288,0.5942895680778534
1024,0.07822597026824951,0.7395465731271095,0.3904221756383222,0.8231086628009261
1025,0.3431496024131775,0.426192539487909,0.5163723876062224,0.39601311853973487
1027,0.23573614656925201,0.5992959684387315,0.6069345000557304,0.544128703065543
1030,0.3118336796760559,0.3816630508889849,0.18294094115249124,0.29900461339520956
1031,0.06320472806692123,0.8225638240309778,0.530006403459663,0.8592318092613562
1033,0.04016634076833725,0.7657635051951277,0.3597932300862335,0.8212570136340817
1035,0.034298405051231384,0.7366623845269884,0.35384706719119946,0.785795475787137
104,0.03878988325595856,0.8162729742314239,0.6434206682942234,0.9004234824436332
1040,0.05519185960292816,0.8384075401392252,0.6691178914767052,0.7752296415450506
1042,0.03413280099630356,0.8154989033015181,0.5112559779456542,0.8939826774926825
1045,0.18190869688987732,0.4123458164918069,0.05656825199571205,0.26165617411229736
1046,0.18635442852973938,0.6812395902444508,0.6912828436499664,0.6642303148536561
1049,0.06553719937801361,0.4689750885464339,0.029087057496677976,0.256084491270429
1050,0.10082942992448807,0.4578945717519669,0.11179641856394694,0.2776091856659392
1051,0.1662452518939972,0.6542605873070362,0.6490399271665173,0.6749946729998006
1052,0.04624422267079353,0.5241719033716611,0.14231540587312072,0.4842732760645504
1055,0.08918501436710358,0.5398747684900137,0.15318644289677227,0.7587961878742834
1056,0.04885077103972435,0.8427574631111864,0.571017035502636,0.7398959875982596
1057,0.06978822499513626,0.7103797483028684,0.6115466014683955,0.7755091152791781
1058,0.05637045204639435,0.4729346275946802,0.020961987066585242,0.27148052145701335
1059,0.1768806278705597,0.6446858517086893,0.6699733369185119,0.6047565796754686
106,0.022251924499869347,0.7264983762370498,0.23756651556947705,0.7626858317076354
1063,0.18561871349811554,0.5755263877936836,0.583623590938674,0.49521987195530137
1064,0.05783223360776901,0.7997658691448721,0.63867056328918,0.7278182103739411
1065,0.05639369413256645,0.47441474999748207,0.04884342702192172,0.2613204939483822
1066,0.039870988577604294,0.7463016537169114,0.3432928260750761,0.8346196455881884
1067,0.1277158111333847,0.6824147893296314,0.5086621421466371,0.7164098570167203
1068,0.12905065715312958,0.4368253002759975,0.016876261355414396,0.25225628336277184
107,0.01352077815681696,0.8352866470569366,0.4148122505990292,0.8683207804002061
1070,0.23654267191886902,0.5056965806904495,0.36996871970069156,0.6267762084661531
1071,0.04591735079884529,0.8731645954756968,0.7684001576339774,0.9146179718280838
1072,0.1319381445646286,0.7520719682694252,0.6691385602117855,0.8209225271388498
1073,0.08568526804447174,0.8715141491769038,0.8686899200609217,0.8652154566503347
1074,0.1728031188249588,0.41524555389260565,0.023760548604750995,0.2530367473063292
1075,0.02139793336391449,0.9545400511358804,0.7987562018910808,0.913272967377063
1076,0.1488877534866333,0.7679855430417453,0.6405579532626982,0.7541062806727821
1077,0.09215086698532104,0.7345015623903408,0.5695603581711645,0.7698273873055164
1078,0.05457938089966774,0.4797660741303593,0.060417367349499686,0.2624115598165614
1079,0.0063446294516325,0.8992461548427366,0.5695931950393659,0.9542389177720831
1081,0.13622888922691345,0.43386749169973704,0.019566643217093702,0.7594418081745253
1085,0.05423968285322189,0.7750176277224942,0.7521267405980265,0.8417188669053924
1086,0.10919211059808731,0.8669762496517566,0.855217898039203,0.8582124929630437
1087,0.03759185969829559,0.7131197973728969,0.5369552786245819,0.884515974211245
1088,0.011566498316824436,0.4859898572531077,0.0011508835066443377,0.4982445096918294
1089,0.01587451621890068,0.9215695891638634,0.7993317754727378,0.9031857429128712
1090,0.14675042033195496,0.4586227905985134,0.24409338340961367,0.33061616137372973
1091,0.0834101140499115,0.8134622321353281,0.6243332200514367,0.8522854101921039
1092,0.277151882648468,0.49586481445879715,0.5717086633030508,0.507457006537787
1093,0.17815473675727844,0.41658217858174523,0.005010612636113585,0.32922659454710607
1094,0.12240331619977951,0.7191393099515228,0.47096183217841575,0.7948612109281532
1095,0.05198833718895912,0.9285515459903215,0.8830542151904051,0.925955833515659
1096,0.1232384741306305,0.7680870322926687,0.7027067453594558,0.821891683469453
1097,0.010999266989529133,0.8552307812222915,0.5136801863152207,0.91414678897235
1098,0.024500470608472824,0.9076705647463794,0.6484426076935096,0.8618007752566652
1099,0.16338473558425903,0.4199428240228919,0.022645838015990297,0.25272655603463756
11,0.029804669320583344,0.48729113743031244,0.013661886373068421,0.25299055234171414
1101,0.08358954638242722,0.6934936122999331,0.34639586632234487,0.5964182687259754
1102,0.0799182802438736,0.8304686458614029,0.6731852604572105,0.883656074207207
1103,0.036712005734443665,0.6682706231024009,0.11215408715851567,0.524414804625431
1104,0.07087554782629013,0.7491928984446974,0.5798030677968546,0.6881062346480857
1105,0.47287216782569885,0.4234242350811526,0.6317967174370879,0.3530738729797943
1106,0.0252715852111578,0.7971880278509286,0.40602225101943945,0.8524439616916393
1107,0.05114462971687317,0.7263427457073114,0.37142388428876777,0.5416731644944071
1108,0.018087806180119514,0.6231778450560563,0.25818087830803504,0.7110733927904431
1109,0.145440936088562,0.6081252699063602,0.5711729462221175,0.504491314062359
111,0.021933382377028465,0.5819514362373839,0.28983171445092937,0.9194138076174574
1110,0.4323488473892212,0.5287360119004224,0.7601589058266025,0.41263162660945696
1111,0.05818938463926315,0.8230683265856785,0.5554997075642135,0.893664505394889
1112,0.06725414097309113,0.7960918042577148,0.5415924892890058,0.8668984172059768
1113,0.08384471386671066,0.7496747003097757,0.49613458786549086,0.8701309088437075
1114,0.11048129200935364,0.8338740171382231,0.570231185583211,0.7903766789912093
1115,0.012920334935188293,0.8745239738201278,0.5721342141394434,0.9103060184610314
1116,0.07002018392086029,0.7876181249242535,0.37623904551783954,0.767471126833094
1117,0.014830629341304302,0.7716001711450396,0.5341996746477715,0.928771337822434
1118,0.08777167648077011,0.4573669228433263,0.013178380415393806,0.2525985352818809
1119,0.5468051433563232,0.3334754885653721,0.4991009633273135,0.2659593497587575
1120,0.049139220267534256,0.8628218837377515,0.5432530117469015,0.8763472760682328
1121,0.029809366911649704,0.8380576377032737,0.6094299014547898,0.8858651602867211
1122,0.01717890240252018,0.5247109146006868,0.03802159278363551,0.7426414051141125
1123,0.04139021039009094,0.5070009201801838,0.133391412423675,0.29787795055604793
1124,0.053583916276693344,0.7967203216451324,0.46137496689946134,0.8260518181471206
1126,0.01871335692703724,0.8184659478519819,0.7428295447537872,0.9046919116591472
1127,0.06771227717399597,0.581652727967297,0.3419562050520767,0.6932942574290886
1128,0.14313055574893951,0.6682509597427313,0.7092094659658489,0.6608195525962647
1129,0.04130832105875015,0.7746072255597658,0.634964858542477,0.8261600164248772
1130,0.18842436373233795,0.4064206419851669,0.014044710817434712,0.2577376360523369
1131,0.04465404525399208,0.7262975913319459,0.26317235870903977,0.7869792589822385
1132,0.03709946945309639,0.8732548580159722,0.6012494953890449,0.9032573998488367
1133,0.10600114613771439,0.8459932101060623,0.7512758837980072,0.818592795560037
1134,0.02571367286145687,0.8686944531874052,0.6812581127200505,0.9160218966463146
1135,0.009082864969968796,0.8520156766407035,0.6566769078820497,0.864575793218818
1136,0.11140048503875732,0.8175696781112237,0.7833341359379241,0.8455387448430354
1137,0.03186915069818497,0.860237633839612,0.6747164483440052,0.8564479777445011
1139,0.17376188933849335,0.6781765677102213,0.6177274015382294,0.7222807217920806
114,0.06844113022089005,0.9077738197836125,0.8087149947578461,0.9081129363015081
1141,0.03754772990942001,0.8014456885217629,0.598958631022202,0.8083008336512253
1142,0.12944689393043518,0.8244516502994694,0.8231907875651006,0.8214381777113493
1143,0.007648693397641182,0.8409073597411901,0.47224029712319604,0.86727930698887
1144,0.03304057568311691,0.875896854763973,0.5861458619407531,0.8981768201809605
1145,0.2653684616088867,0.5797082271784035,0.6355424737855202,0.5884917883782512
1146,0.20234103500843048,0.5483496573856241,0.6055307899379891,0.5695238650630192
1147,0.044064220041036606,0.919987138193902,0.8606347343096802,0.9115700586370494
1149,0.0565706342458725,0.6828592693696172,0.5696400181775236,0.6765499969221977
1150,0.05816122144460678,0.5237201518381067,0.22134567743586592,0.34150457108607407
1151,0.4906156063079834,0.4881829133290332,0.630700531651299,0.3355753521582956
1152,0.021741045638918877,0.6116895876930759,0.36671754851859684,0.734656964145534
1154,0.07778839021921158,0.48241331923399233,0.04912364343224455,0.6134800893442098
1155,0.35131797194480896,0.5767140033902329,0.6895776956451184,0.5300416343368451
1157,0.014622568152844906,0.555394126174326,0.022794365331320596,0.5578589778537817
1158,0.47296854853630066,0.4316545146954261,0.70352328489644,0.3664209541379997
1159,0.14289292693138123,0.8041197605908965,0.8566517826462705,0.8065917172835471
116,0.09170649945735931,0.4589818521649193,0.08264586940546487,0.27114624194328485
1160,0.07210871577262878,0.9176806694015762,0.8791503336290145,0.8935685945162728
1161,0.141113743185997,0.8068343872563033,0.7861051117217109,0.8045451327506177
1162,0.20788973569869995,0.7469269431253751,0.7951220836675607,0.73908194942143
1164,0.03409881889820099,0.8836483786771194,0.669427245437306,0.9102594885019215
