image,MAE,Sm,wFm,Em
COD10K-CAM-1-Aquatic-1-BatFish-2,0.1358436942100525,0.7176665011090588,0.6588439188781448,0.7326012067874458
COD10K-CAM-1-Aquatic-1-BatFish-4,0.21375471353530884,0.6081536379480241,0.6533977368867097,0.5684064551706772
COD10K-CAM-1-Aquatic-1-BatFish-5,0.1275017112493515,0.7126986389243584,0.6448997140731051,0.7717385520697708
COD10K-CAM-1-Aquatic-1-BatFish-6,0.04149267077445984,0.7581649358096911,0.38438538554542406,0.813312502155929
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-416,0.0805145725607872,0.6722518119110146,0.3867912782515789,0.852940731361431
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-419,0.21531786024570465,0.3813324954773237,0.060422380238581,0.6741700070680543
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-422,0.21054565906524658,0.540387193090974,0.5015430831578841,0.54564633408424
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-423,0.25606584548950195,0.49638978539078643,0.46702699566951866,0.4810073674910229
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-429,0.3578560948371887,0.42953209911465307,0.4035293509900106,0.3869407235860641
COD10K-CAM-1-Aquatic-11-Octopus-430,0.10057603567838669,0.8052838492072487,0.685148077424092,0.8635979035475221
COD10K-CAM-1-Aquatic-11-Octopus-436,0.2659624218940735,0.5304205719901337,0.5845382356781447,0.4951092379359078
COD10K-CAM-1-Aquatic-11-Octopus-437,0.23990865051746368,0.6406246184798755,0.7369206469156266,0.6193608510263777
COD10K-CAM-1-Aquatic-11-Octopus-441,0.17851203680038452,0.6825490029609189,0.6309781735659795,0.6750046753601988
COD10K-CAM-1-Aquatic-11-Octopus-444,0.1529262661933899,0.754562752255593,0.6229234753171731,0.7822911494355584
COD10K-CAM-1-Aquatic-11-Octopus-445,0.13566061854362488,0.5904194674094572,0.2868817782491504,0.7432858568361597
COD10K-CAM-1-Aquatic-11-Octopus-447,0.1345355063676834,0.5896310594865465,0.18097869745499873,0.5567117225650859
COD10K-CAM-1-Aquatic-11-Octopus-451,0.11861230432987213,0.6550841649689295,0.2408720321751447,0.6576391687344589
COD10K-CAM-1-Aquatic-11-Octopus-452,0.06768935173749924,0.8674354531155942,0.5035935034556561,0.7890081949551916
COD10K-CAM-1-Aquatic-11-Octopus-453,0.11339902132749557,0.7873494996545208,0.6194068771014417,0.8320359985977535
COD10K-CAM-1-Aquatic-11-Octopus-454,0.18797972798347473,0.4720701736053241,0.028636270798039206,0.33229959623621386
COD10K-CAM-1-Aquatic-11-Octopus-458,0.3401942551136017,0.35937631853376795,0.24532319284424853,0.3064453688478048
COD10K-CAM-1-Aquatic-11-Octopus-462,0.1627482771873474,0.7924954082402318,0.7781886976560658,0.7755273264670377
COD10K-CAM-1-Aquatic-11-Octopus-463,0.26685869693756104,0.5221679839415232,0.5758983643244138,0.4868330891446382
COD10K-CAM-1-Aquatic-11-Octopus-464,0.08421812951564789,0.8491358059545404,0.6649327274882316,0.856614961887066
COD10K-CAM-1-Aquatic-11-Octopus-465,0.20464417338371277,0.5205286200476227,0.29517659872862007,0.7299689084145522
COD10K-CAM-1-Aquatic-11-Octopus-466,0.09071148186922073,0.5705713520529079,0.11746599614397857,0.5232053633621556
COD10K-CAM-1-Aquatic-11-Octopus-468,0.11820188909769058,0.7208182402874426,0.5788988071636784,0.7935274985688014
COD10K-CAM-1-Aquatic-11-Octopus-471,0.052437860518693924,0.6748660402372798,0.41271808646084535,0.7787789570750585
COD10K-CAM-1-Aquatic-11-Octopus-472,0.19475141167640686,0.7255205343871673,0.7685295641944846,0.6594496641810534
COD10K-CAM-1-Aquatic-11-Octopus-473,0.29155874252319336,0.5485998365088253,0.6530790707603195,0.5431970801847859
COD10K-CAM-1-Aquatic-12-Pagurian-474,0.18716205656528473,0.5563735312645941,0.14783113918256646,0.4907664334873567
COD10K-CAM-1-Aquatic-12-Pagurian-481,0.13671787083148956,0.44082432636124996,0.010666900537783347,0.35405138020453175
COD10K-CAM-1-Aquatic-12-Pagurian-482,0.13506782054901123,0.6484637424238942,0.23312471635936233,0.6324516290433215
COD10K-CAM-1-Aquatic-12-Pagurian-483,0.12484917044639587,0.6704902185491898,0.37113233503709886,0.7724310629159881
COD10K-CAM-1-Aquatic-12-Pagurian-484,0.20158755779266357,0.6889639013609588,0.6530841290988435,0.6921559610035358
COD10K-CAM-1-Aquatic-12-Pagurian-486,0.048820383846759796,0.5247229208692525,0.07496572491739248,0.5876696651307948
COD10K-CAM-1-Aquatic-13-Pipefish-488,0.11166568100452423,0.6039602353690168,0.3050490325154024,0.7696143927675808
COD10K-CAM-1-Aquatic-13-Pipefish-490,0.09803786873817444,0.5054778793718016,0.09025298592122452,0.7321921922548185
COD10K-CAM-1-Aquatic-13-Pipefish-492,0.015288502909243107,0.49768555892619215,0.005549799180373574,0.27010968486386705
COD10K-CAM-1-Aquatic-13-Pipefish-496,0.194028839468956,0.5309498839962653,0.15357202785576066,0.537867243698802
COD10K-CAM-1-Aquatic-13-Pipefish-497,0.0725821852684021,0.6904916430210211,0.46159427542325865,0.8644002526832726
COD10K-CAM-1-Aquatic-13-Pipefish-500,0.13164730370044708,0.4369656806024682,0.038184694489099565,0.4612332565514002
COD10K-CAM-1-Aquatic-13-Pipefish-501,0.11437384784221649,0.5355793122413477,0.11397996546692506,0.5477491686025966
COD10K-CAM-1-Aquatic-13-Pipefish-502,0.14844968914985657,0.42387822251754725,0.018178261725241455,0.45553045240578593
COD10K-CAM-1-Aquatic-13-Pipefish-503,0.13172277808189392,0.47445675840946594,0.08436574478602694,0.516111781380851
COD10K-CAM-1-Aquatic-13-Pipefish-508,0.2692550718784332,0.4444806929810122,0.12633764992816246,0.5484744579320587
COD10K-CAM-1-Aquatic-13-Pipefish-510,0.07897502183914185,0.6937765581268548,0.5257852260293598,0.8668746228623327
COD10K-CAM-1-Aquatic-13-Pipefish-515,0.14794836938381195,0.5894829057677926,0.3218572022316034,0.8013538256787042
COD10K-CAM-1-Aquatic-13-Pipefish-517,0.15726807713508606,0.4821125970396201,0.055303229046947615,0.38740524261794607
COD10K-CAM-1-Aquatic-13-Pipefish-518,0.06570013612508774,0.694911576258366,0.38539308761602503,0.824904172134163
COD10K-CAM-1-Aquatic-13-Pipefish-520,0.09444569796323776,0.43659411262825826,0.006553751812459282,0.7024921501887484
COD10K-CAM-1-Aquatic-13-Pipefish-521,0.11303576827049255,0.4595326782434675,0.028573787811610823,0.41547682918001305
COD10K-CAM-1-Aquatic-13-Pipefish-522,0.12043575197458267,0.4436042709737767,0.06307622289730665,0.4594358690534608
COD10K-CAM-1-Aquatic-13-Pipefish-527,0.12826946377754211,0.5320599600668617,0.1362108216445839,0.6008727993535903
COD10K-CAM-1-Aquatic-13-Pipefish-528,0.17318296432495117,0.4562955545260092,0.04825368283670911,0.5218177498223666
COD10K-CAM-1-Aquatic-13-Pipefish-529,0.0773266926407814,0.46604090145590465,0.05072307833514425,0.6212201971084784
COD10K-CAM-1-Aquatic-13-Pipefish-531,0.035108502954244614,0.5199584997828671,0.03585096998987611,0.40446092972245584
COD10K-CAM-1-Aquatic-13-Pipefish-532,0.05849912390112877,0.582834156366251,0.2258434814893887,0.6832629597369977
