image,MAE,Sm,wFm,Em
COD10K-CAM-1-Aquatic-1-BatFish-2,0.1173466369509697,0.7858267457618363,0.7121953607202997,0.7806152824414168
COD10K-CAM-1-Aquatic-1-BatFish-4,0.22290602326393127,0.5652763659940966,0.6280992147720769,0.5398594199812048
COD10K-CAM-1-Aquatic-1-BatFish-5,0.11561106890439987,0.7381981826863759,0.6876151982354695,0.8014027360758551
COD10K-CAM-1-Aquatic-1-BatFish-6,0.033736761659383774,0.7977961301698616,0.4569377584540087,0.8341733294767053
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-416,0.0673406571149826,0.6963491298827593,0.4558796039606129,0.8406825856684342
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-419,0.1873852163553238,0.4567359936203536,0.14206809484045532,0.6013250723131781
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-422,0.2017723023891449,0.6097692721991133,0.5408761823438593,0.6544104124532009
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-423,0.25022032856941223,0.5045421582848698,0.4957956185219202,0.5094137751591951
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-429,0.37983399629592896,0.3516341099921428,0.2613881803990414,0.30965910716968414
COD10K-CAM-1-Aquatic-11-Octopus-430,0.11041290313005447,0.780478922187098,0.6252704940292328,0.8541335085786789
COD10K-CAM-1-Aquatic-11-Octopus-436,0.263345867395401,0.5909938894461575,0.5836054562232028,0.5430534191160777
COD10K-CAM-1-Aquatic-11-Octopus-437,0.24869075417518616,0.6569341717730464,0.7130961166592025,0.5930926581892196
COD10K-CAM-1-Aquatic-11-Octopus-441,0.13073371350765228,0.8185851400113072,0.708340410803673,0.7985673693991557
COD10K-CAM-1-Aquatic-11-Octopus-444,0.15238463878631592,0.7443493547713628,0.6824679648928007,0.7157725763249217
COD10K-CAM-1-Aquatic-11-Octopus-445,0.0946352630853653,0.7081960167433892,0.47283801373528334,0.8310604375963697
COD10K-CAM-1-Aquatic-11-Octopus-447,0.12245704233646393,0.6145950687635368,0.20246724488686166,0.5839717630646001
COD10K-CAM-1-Aquatic-11-Octopus-451,0.12883926928043365,0.6605097537287754,0.19500880471306078,0.6856102595288815
COD10K-CAM-1-Aquatic-11-Octopus-452,0.07498109340667725,0.7811146558280861,0.46940027785954924,0.624148941058835
COD10K-CAM-1-Aquatic-11-Octopus-453,0.12305950373411179,0.7746076731567691,0.6054697731078432,0.7722103420000929
COD10K-CAM-1-Aquatic-11-Octopus-454,0.1870153844356537,0.42676678895778125,0.00902339228459367,0.3476017309394035
COD10K-CAM-1-Aquatic-11-Octopus-458,0.3489765524864197,0.3398765270484925,0.17111687968300668,0.28548451090143645
COD10K-CAM-1-Aquatic-11-Octopus-462,0.18630509078502655,0.7553018626609287,0.7177038033955638,0.7486350580917377
COD10K-CAM-1-Aquatic-11-Octopus-463,0.23919378221035004,0.6014930821806195,0.6495970461683438,0.5759389770877613
COD10K-CAM-1-Aquatic-11-Octopus-464,0.11583129316568375,0.6707843277037919,0.6364792334022975,0.5913872943079603
COD10K-CAM-1-Aquatic-11-Octopus-465,0.20763707160949707,0.536715900863741,0.27647965362404214,0.6680440836140863
COD10K-CAM-1-Aquatic-11-Octopus-466,0.07681413739919662,0.5864887939778967,0.12148756032751296,0.5340998081876677
COD10K-CAM-1-Aquatic-11-Octopus-468,0.08690054714679718,0.8239185137543625,0.7181010331586106,0.8274561373946531
COD10K-CAM-1-Aquatic-11-Octopus-471,0.07853414863348007,0.6885358963289513,0.27069302566748166,0.7105209572033561
COD10K-CAM-1-Aquatic-11-Octopus-472,0.21437817811965942,0.7013744077649561,0.7245848847384808,0.6146189439798696
COD10K-CAM-1-Aquatic-11-Octopus-473,0.258675217628479,0.612209462799965,0.7317202499529365,0.593062192160805
COD10K-CAM-1-Aquatic-12-Pagurian-474,0.18989180028438568,0.5345242242682213,0.150312615066006,0.49111666171902063
COD10K-CAM-1-Aquatic-12-Pagurian-481,0.13077767193317413,0.49651562247669423,0.03072912572017962,0.3471613283376621
COD10K-CAM-1-Aquatic-12-Pagurian-482,0.10196208953857422,0.6722440444074338,0.29256594220053456,0.7051699065475138
COD10K-CAM-1-Aquatic-12-Pagurian-483,0.12581127882003784,0.5508401455939362,0.2540902196724821,0.47552784343966026
COD10K-CAM-1-Aquatic-12-Pagurian-484,0.2129310965538025,0.6558889493237832,0.6411680887215325,0.62839821000258
COD10K-CAM-1-Aquatic-12-Pagurian-486,0.029487157240509987,0.5783159960314844,0.11218556843333685,0.6643054097782259
COD10K-CAM-1-Aquatic-13-Pipefish-488,0.09471166133880615,0.6338005558787563,0.32575608400300765,0.474909479902821
COD10K-CAM-1-Aquatic-13-Pipefish-490,0.09132442623376846,0.4643355667487891,0.060890326003316744,0.6454188927701452
COD10K-CAM-1-Aquatic-13-Pipefish-492,0.014813259243965149,0.4944018347080843,0.0036406408755238194,0.29990444284385975
COD10K-CAM-1-Aquatic-13-Pipefish-496,0.11435332149267197,0.6218891380807701,0.2293615217845691,0.7123226019814315
COD10K-CAM-1-Aquatic-13-Pipefish-497,0.07009193301200867,0.7266399193980158,0.4744260941971964,0.831867453893282
COD10K-CAM-1-Aquatic-13-Pipefish-500,0.10251680016517639,0.4580125017166129,0.05499524901440492,0.5337762083112814
COD10K-CAM-1-Aquatic-13-Pipefish-501,0.06908322125673294,0.6281522650478242,0.15902871047702044,0.7083210169036679
COD10K-CAM-1-Aquatic-13-Pipefish-502,0.1755322515964508,0.4180448097995176,0.032193418379530284,0.40116737950415415
COD10K-CAM-1-Aquatic-13-Pipefish-503,0.1279570311307907,0.48414381263212414,0.10293349626742854,0.5135371156191888
COD10K-CAM-1-Aquatic-13-Pipefish-508,0.17644494771957397,0.5284912179676926,0.16557621754311974,0.6537041964417203
COD10K-CAM-1-Aquatic-13-Pipefish-510,0.07631766051054001,0.717899161099874,0.5442006906914448,0.8505656707753794
COD10K-CAM-1-Aquatic-13-Pipefish-515,0.1707039326429367,0.5557477875727037,0.2574304401319796,0.7105397032079435
COD10K-CAM-1-Aquatic-13-Pipefish-517,0.15714062750339508,0.46144715583034956,0.060618489780179696,0.381319608980143
COD10K-CAM-1-Aquatic-13-Pipefish-518,0.06042350456118584,0.6998735854916845,0.40203397251009343,0.8434146344543161
COD10K-CAM-1-Aquatic-13-Pipefish-520,0.1620113104581833,0.41010963172129267,0.013113116899046231,0.6010471920014329
COD10K-CAM-1-Aquatic-13-Pipefish-521,0.14194445312023163,0.45149264207905293,0.037711872568289055,0.3667881015243909
COD10K-CAM-1-Aquatic-13-Pipefish-522,0.1287265121936798,0.4384764504169071,0.05871499216206411,0.43034052556818514
