image,MAE,Sm,wFm,Em
1002,0.08628737181425095,0.6415142485160881,0.3259063359288974,0.7922204356945644
1003,0.14696131646633148,0.427924897037995,0.015739149584676898,0.2523564258186073
1004,0.11849262565374374,0.5358948892401584,0.07405114910373971,0.5379323127624182
1005,0.19108356535434723,0.40528171310468364,0.011683090827530381,0.25047022048838163
1006,0.42553794384002686,0.4302411429455592,0.5634077707687815,0.37907035039556336
1007,0.060959670692682266,0.6414904393260807,0.11823009470268404,0.5669662163758695
1008,0.07050763070583344,0.6971415118928319,0.25790401826385845,0.7068423264616128
1009,0.07317062467336655,0.6407221880525401,0.3536457994894177,0.6890022152963214
101,0.08914808183908463,0.45451178929243746,0.04261026950737356,0.29744606045699185
1010,0.0414777472615242,0.48595724104673954,0.008687891329258055,0.4090989635340256
1011,0.08990875631570816,0.6508012384296359,0.1741873742387602,0.6402339549559228
1014,0.23322996497154236,0.6591354676281802,0.7547434856374088,0.6227714795451162
1015,0.07243484258651733,0.6310747656307336,0.2232753889062049,0.654121015762329
1016,0.20510980486869812,0.437963502191022,0.17807267704241705,0.4214011577343195
1017,0.06512320786714554,0.5869306869295811,0.21297556175855073,0.789483289812051
1018,0.2140948623418808,0.7335822718122793,0.7779818555049904,0.6749849919827895
1019,0.04617320001125336,0.5993177598827939,0.18340116652746657,0.6794366009363255
102,0.06406912952661514,0.7543976843970213,0.6802553183838308,0.7370924408856353
1021,0.09661835432052612,0.4871847708265656,0.19762238753181255,0.3365073088255064
1022,0.08904185146093369,0.5064328571201077,0.3027405661187297,0.3784662334829751
1023,0.04134967550635338,0.5094330576021163,0.07911753465974238,0.4945108532734447
1024,0.0862058624625206,0.7086208202266838,0.3512222854755536,0.7703883651652906
1025,0.31992098689079285,0.5600108529769419,0.583739756068397,0.46255050142702475
1027,0.2225182205438614,0.6373900579212356,0.6544443691252299,0.5643053376580739
1030,0.23734793066978455,0.6038240846408958,0.5840535053249306,0.5554557879924358
1031,0.03878611698746681,0.8874988199734688,0.6821998171492857,0.9180578577269741
1033,0.04900476709008217,0.699449783970212,0.20882268343272412,0.6218350490381042
1035,0.01839204505085945,0.8645706284981336,0.5186361608307352,0.8471866545660101
104,0.050004322081804276,0.7765894932249013,0.5459680533828739,0.8717783370771905
1040,0.07890640944242477,0.7488366702237106,0.4727795559338827,0.8115858326991543
1042,0.049826301634311676,0.5216948451565262,0.14010567738956556,0.3234254929849114
1045,0.14269009232521057,0.6005499168366027,0.5381500828121274,0.5558611147081867
1046,0.20420904457569122,0.6489756894793149,0.6487652377847744,0.591879968275677
1049,0.06429020315408707,0.47875941718740483,0.10602809465166116,0.28430909553642325
1050,0.10173708200454712,0.4565944813712338,0.0845270852605731,0.2704100636470327
1051,0.2504742741584778,0.3819793416888232,0.14460289887744124,0.2875053822488225
1052,0.063615582883358,0.5042510134274526,0.10560513997918387,0.45011771497794684
1055,0.06488721072673798,0.4733544768232656,0.027483596270659973,0.32084973144438866
1056,0.07537621259689331,0.7038611332574455,0.3382006916589604,0.6919315461245581
1057,0.1090332642197609,0.550008961178333,0.24530251942815856,0.5271835261561485
1058,0.09647014737129211,0.5919050059268166,0.1907872578280954,0.7029932874183991
1059,0.22879387438297272,0.501487810827739,0.46716075096906096,0.41877728877856546
106,0.046078234910964966,0.6159297786369974,0.11077608884132385,0.583769752934548
1063,0.0758977085351944,0.8928844542102023,0.8674723790934517,0.8654416523598731
1064,0.09319620579481125,0.45937690985584123,0.06474033207344296,0.269461306291778
1065,0.03210791200399399,0.8330107657837005,0.6557135809827845,0.8208858812470241
1066,0.049101557582616806,0.6887538759001692,0.26872782326610795,0.8158598138985916
1067,0.12856528162956238,0.6183795076099273,0.5212761415891507,0.524827981703271
1068,0.11819401383399963,0.49936965696740004,0.3230503106762803,0.38157358689588455
107,0.014839845709502697,0.5851504259561651,0.23992215348781987,0.42394341263746377
1070,0.2047930210828781,0.5741683052286316,0.4795663874735222,0.6717758412871064
1071,0.0948217511177063,0.6805975215769117,0.5078498870593465,0.6949127751585357
1072,0.13823845982551575,0.7095348325073497,0.7155377358472236,0.7352292062405605
1073,0.17000311613082886,0.7231903561253079,0.7328348990109766,0.6752211044888319
1074,0.17283006012439728,0.41553742383214826,0.02702409443085476,0.25335815181758725
1075,0.037761058658361435,0.8272350366953345,0.6201765227361533,0.8786396937074119
1076,0.2278793603181839,0.5636535375043755,0.4086528079708684,0.5848865365804273
1077,0.07346988469362259,0.7846503312519617,0.7060997069719602,0.7858055688017325
1078,0.06326185911893845,0.7546235716594274,0.34702586074853176,0.7597612335344817
1079,0.018390262499451637,0.6703403606540678,0.30377197659520916,0.7435999060380947
1081,0.11844802647829056,0.4959461573995852,0.12114131223610013,0.7796400427159792
1085,0.06409309059381485,0.7600050499410536,0.6303469170252793,0.9068283081306514
1086,0.13383710384368896,0.8502739755040153,0.859233895024178,0.8033348220961305
1087,0.04159446060657501,0.7201719525533352,0.4713640036596579,0.8030100456645515
1088,0.03829151764512062,0.46867463575295926,0.00022250695428814533,0.3170657654968708
1089,0.015904245898127556,0.9349169279128715,0.7740826451293212,0.925312153935894
1090,0.15514208376407623,0.4257796627927901,0.052025732120737044,0.2609175862743295
1091,0.12948380410671234,0.6957581482154536,0.4106371558221557,0.7594863519804009
1092,0.36754271388053894,0.3469799460363664,0.2309602642560128,0.3606211354439774
1093,0.07016463577747345,0.5416989869679018,0.0632681952534293,0.5008446524922033
1094,0.09529586136341095,0.7717432134096731,0.578661221346762,0.8243414496717634
1095,0.1140093058347702,0.8290001265187585,0.7708237127990647,0.8194028013550332
1096,0.19231143593788147,0.5863925065446,0.5179799535895464,0.4943687797771587
1097,0.0629417896270752,0.5913539018797758,0.12164127306780421,0.5017637013014664
1098,0.02771296352148056,0.8626509076611174,0.6004462614705369,0.8683571552764493
1099,0.16138766705989838,0.4242382580973971,0.08558150943957156,0.26823680541091566
11,0.05873396620154381,0.4775241802067428,0.02135848439121746,0.6028990280649884
1101,0.135084331035614,0.6272906472545877,0.245665982976565,0.7005270610852229
1102,0.07543409615755081,0.8178322537730197,0.773171316985397,0.8298705379651853
1103,0.01943993754684925,0.538269079318767,0.04355661044917787,0.5205113370114722
1104,0.03268907591700554,0.9095561383853525,0.7477471793208157,0.9426243855528378
1105,0.4961331784725189,0.3995869251875943,0.5893116152880716,0.33427615663856874
1106,0.07124635577201843,0.6012606873654055,0.17649420168831986,0.5740914707949201
1107,0.058462031185626984,0.4783954537787905,0.050213546936566426,0.27897815597023123
1108,0.05681827291846275,0.5333383529141494,0.08771859703665437,0.5693701695978561
1109,0.16209858655929565,0.5636494172531022,0.4522781519340601,0.4430454141476048
111,0.05720895528793335,0.5105569947773222,0.05900281054828137,0.6512238712685696
1110,0.6138753890991211,0.30231451497471457,0.4993645018683931,0.23060091115979692
1111,0.04682047292590141,0.872544242586087,0.6367941942625005,0.8977951839257112
1112,0.09158821403980255,0.6728700577015204,0.393672771022812,0.6395177877483265
1113,0.09162094444036484,0.727696251454118,0.46201367760794915,0.7775523111999789
1114,0.1197023019194603,0.6548279610333361,0.6314439879117864,0.6800547184260404
1115,0.029469208791851997,0.7234349144356136,0.3370084944476468,0.7837442743588972
1116,0.092890165746212,0.7108782046293157,0.303524119458161,0.7196042437629682
1117,0.025700785219669342,0.7312845383944904,0.3227922859598499,0.86641757564721
1118,0.06908893585205078,0.6238165463733522,0.5042681240400889,0.4763866119775328
1119,0.5156620144844055,0.3982845042305167,0.5671711577678961,0.2986144619638251
1120,0.1102960854768753,0.44978590164440796,0.09310844573176227,0.6455126556319987
1121,0.055322833359241486,0.7478622329450296,0.3766362033249374,0.7999882838103402
1122,0.07638413459062576,0.5304096460972042,0.03182301092007438,0.39591281848019005
1123,0.10749897360801697,0.43135805335886684,0.008589427552601996,0.7036610220649206
1124,0.05290551856160164,0.8180567339381994,0.46129949753195104,0.8312481003320931
1126,0.02771710604429245,0.8248053227751209,0.5389540238216985,0.8393395366453329
1127,0.07485632598400116,0.5574896876719556,0.26302101409466055,0.6417774094853406
1128,0.11572310328483582,0.7590077920627778,0.7796582533169346,0.7678676755574815
1129,0.05005130544304848,0.7792299698622484,0.5133214126561371,0.875477186655204
1130,0.1865844875574112,0.40836965404130127,0.020609084978875546,0.25246127439861077
1131,0.07109160721302032,0.6757127729646202,0.19897407244268034,0.6146163706360832
1132,0.03905976563692093,0.8690365470138794,0.5790480245879598,0.8941014815579669
1133,0.12965144217014313,0.7821912795613075,0.7336107607996822,0.7354966265538372
1134,0.034248922020196915,0.8679994353621763,0.5523149436729167,0.8947935524301089
1135,0.048424605280160904,0.6130735714744338,0.12998382562112218,0.7125726551369267
1136,0.2166014015674591,0.5536319573652051,0.5338127852470782,0.5047926500315219
1137,0.03489098325371742,0.8630539880398473,0.6037218946888638,0.910474850537511
1139,0.19570273160934448,0.6593428123258283,0.5494010774713154,0.6615154678972517
114,0.12577609717845917,0.7806141980146716,0.8066738596618465,0.75059671339191
1141,0.06241285800933838,0.7272587546523654,0.3596133822101316,0.8557669503205751
1142,0.24623091518878937,0.5630407791524216,0.6579864952738191,0.5362579179075754
1143,0.026763778179883957,0.5904017589025851,0.17937628497852126,0.6081481239892665
1144,0.09594158083200455,0.6336288058536304,0.23416222766862044,0.759344967366028
1145,0.32796385884284973,0.4185617710522982,0.46490026090818154,0.4115044302614262
1146,0.14113132655620575,0.7782027475534643,0.762993726538096,0.7168802561074963
1147,0.08448959141969681,0.7950443279747115,0.7512377159925981,0.7567922148225856
1149,0.03543999791145325,0.9221247930558485,0.6963262119603841,0.8713306895999293
1150,0.03393463417887688,0.8838604594490427,0.5777557082625049,0.8674224441660808
1151,0.5077328681945801,0.4386871135920595,0.6012345527404128,0.3166752706573591
1152,0.05085892230272293,0.6592498104045585,0.20316973531077748,0.6594756382081803
1154,0.07384642213582993,0.44915865328636223,0.00797970669239074,0.6412160957844812
1155,0.3639143109321594,0.5706080615417216,0.6985494746112012,0.48514064003922297
1157,0.03260444104671478,0.5050920738155529,0.010132059805974243,0.4115141472954417
1158,0.5680787563323975,0.33960192008742096,0.5637832694132783,0.2591821553026207
1159,0.23943544924259186,0.6421676206623784,0.744487416447605,0.6214847202949261
116,0.08998357504606247,0.47449247862137645,0.18277217158030876,0.30537932695350833
1160,0.1426621675491333,0.7628009860736018,0.8057432191939392,0.764659821549612
1161,0.24163010716438293,0.6185643731760764,0.611614775702501,0.5335024730530656
1162,0.2595151960849762,0.6634901175011987,0.7815063034698846,0.6252359996177466
1164,0.025482838973402977,0.9350927850282547,0.7728491469259181,0.9219394851119731
1165,0.09585811197757721,0.7263286241363947,0.595464727958823,0.7920663863544566
1166,0.0626588687300682,0.8545352387908578,0.8050330911321892,0.8641326344161382
1167,0.041938766837120056,0.8800664327470213,0.7622315490312792,0.9250333277298537
1168,0.19715633988380432,0.5095564815659905,0.4614883120465491,0.44562180603955365
1169,0.33168378472328186,0.49341333170899393,0.3996146719686223,0.41700805543552444
117,0.046735912561416626,0.6002589229345724,0.2006993123093873,0.5899436805083895
1171,0.08562687039375305,0.8761327343669834,0.7043605016761144,0.8293768935326764
1172,0.1271464228630066,0.8053322355161183,0.7978583455971319,0.7664462715209474
1173,0.30785658955574036,0.3537018390897274,0.11093374152095471,0.27290935784826775
1174,0.06594967097043991,0.7390667999565345,0.3133745667400685,0.7089871344736711
1175,0.2864348888397217,0.5578373326180684,0.571837336561773,0.5671147798710423
1176,0.07974869757890701,0.857195367445901,0.6224305442469672,0.8247814091483088
1177,0.3266666531562805,0.5655724838104549,0.6636624325667265,0.511456384631509
1179,0.32179319858551025,0.35108611520421196,0.16225648214722346,0.2832113637998416
1180,0.18587583303451538,0.7421431965841607,0.7776196432414662,0.7146965167639365
1181,0.03861526772379875,0.6861609442895311,0.3005079804122458,0.7455132259645119
1182,0.2626861333847046,0.41737350328064843,0.33647183816463677,0.3580317645059864
1185,0.1608392596244812,0.4995027323110307,0.3954482095666793,0.44962957793730485
1186,0.1942467838525772,0.4296401679704673,0.0037209008207610412,0.29598522779417286
1187,0.19674049317836761,0.5408614354464264,0.5902012161406676,0.49991260223448974
1188,0.07420103996992111,0.7370136451464776,0.302532326064663,0.7349082084727228
1189,0.3896210789680481,0.57194625947803,0.6579542049695558,0.44939204704487423
1190,0.1378454864025116,0.752585283448031,0.7689637164060155,0.7195772727050123
1191,0.10030192881822586,0.5822815818851002,0.33125568829987717,0.5736830715608171
1192,0.2786557674407959,0.41023358467095655,0.35572523268288053,0.35280320379321806
1193,0.13197414577007294,0.5330306934505324,0.3900641009847147,0.4407646556980657
1194,0.6009659171104431,0.20195273020759866,0.048122186981454096,0.2519469413249481
1195,0.09241848438978195,0.46388824529924283,0.12481722628610238,0.2863276521112672
