image,MAE,Sm,wFm,Em
1002,0.08857038617134094,0.6341780378306147,0.29811454075018595,0.7203532733490686
1003,0.14665718376636505,0.4298971224269888,0.05096331099755093,0.25918596325165055
1004,0.10500320047140121,0.5423830671603703,0.07634117642480903,0.5256354040388029
1005,0.19119244813919067,0.40620444897769087,0.02965225586708175,0.2548100226412352
1006,0.4606130123138428,0.3790592941912175,0.46453934949628645,0.32753650093174436
1007,0.08295644819736481,0.5910269425085334,0.07339999683392093,0.513247191554877
1008,0.11499099433422089,0.6388536923750707,0.1824835724384973,0.6005998391674843
1009,0.05991709977388382,0.7246846113824801,0.49917068184102004,0.7590773396730015
101,0.10151299834251404,0.4311308415109642,0.01670314356993829,0.42393010646835794
1010,0.026428760960698128,0.49413566775083245,0.006726904107430095,0.5826431948478037
1011,0.06300133466720581,0.7214412811132118,0.2674780740550421,0.7160531590202068
1014,0.2287532389163971,0.668133419902623,0.7593871059878984,0.6369945987542462
1015,0.05186081305146217,0.6999837230911607,0.29586353627363515,0.7214508164504774
1016,0.18894533812999725,0.5098478931978908,0.314899122907524,0.4973620482779564
1017,0.061605304479599,0.625275061548997,0.2356724752569008,0.7596371314637831
1018,0.19661031663417816,0.7720809027772281,0.8004557530648152,0.7092505354686689
1019,0.04036286473274231,0.5730793352067036,0.12230897419750848,0.41391317877578415
102,0.05139755457639694,0.8422613068908518,0.7262474747825048,0.8424795122727405
1021,0.0951630100607872,0.5018995729135817,0.2314959704578223,0.35092717491809083
1022,0.06210792064666748,0.798692060126927,0.6171599680660033,0.7113728186837707
1023,0.014569908380508423,0.5896110071705433,0.09062913512985844,0.4444498957639217
1024,0.09878422319889069,0.704025890620003,0.3235601312578253,0.6793553574580045
1025,0.3139924108982086,0.5633810691382279,0.5972020964547482,0.48507325041428623
1027,0.16791385412216187,0.7593574362592116,0.775393705000402,0.7107401587536686
1030,0.2884046137332916,0.48152612271663475,0.3662765269635791,0.3907785488239994
1031,0.03888031095266342,0.8887925450101665,0.67494186387911,0.9126259056918599
1033,0.06611966341733932,0.6453398161761628,0.19651210823455048,0.7009728637590072
1035,0.023633873090147972,0.6788757809199071,0.3626028946316697,0.5154805710885637
104,0.04881056398153305,0.797984237393083,0.5423342985464998,0.8813307989002027
1040,0.060328755527734756,0.8110745936651946,0.5854936203346771,0.8464795444798527
1042,0.042641449719667435,0.7928228664900583,0.4017700615737923,0.6905262682572797
1045,0.14216433465480804,0.594350379265818,0.541210821155342,0.5776688613426428
1046,0.20185482501983643,0.6485614592203836,0.6577582027576068,0.6018312813214078
1049,0.06650330126285553,0.4756261573454119,0.07506931201936723,0.27712961785415824
1050,0.07593369483947754,0.792140414861816,0.5210841850366249,0.6666054831634591
1051,0.2496323585510254,0.3847823873506997,0.14557277058664086,0.28304721160021573
1052,0.06548536568880081,0.49940982061072375,0.10239829056562592,0.44022604808276367
1055,0.07207708060741425,0.46048241130088696,0.027965928352484765,0.44145746809688047
1056,0.08243975043296814,0.6673535689430454,0.32206626660316384,0.745254105099672
1057,0.10079487413167953,0.5762889278402565,0.3144508431379092,0.5104840267346082
1058,0.08409920334815979,0.6091789126634408,0.21924383450351195,0.7376643627053643
1059,0.2564231753349304,0.41251265071774307,0.2627428744088319,0.3238399127404222
106,0.07349969446659088,0.6250434634869122,0.0865489406892583,0.45215099718347257
1063,0.06766863167285919,0.9116419928402621,0.8714761107283732,0.8820147642578644
1064,0.09203974157571793,0.46632375763614564,0.09693111501003981,0.2815836875779719
1065,0.03372053802013397,0.8346631756668664,0.6258319833321716,0.8267945087575171
1066,0.03289831802248955,0.7721103281587522,0.4113506544124087,0.8310721165676994
1067,0.13819800317287445,0.5647527784304907,0.4524834963876353,0.46415163172010504
1068,0.12951114773750305,0.43875151515669225,0.06155158918377573,0.2639380253101574
107,0.01761808805167675,0.501050885189197,0.02954022010527632,0.2706193884946233
1070,0.2032272070646286,0.5986490514590851,0.4867883505991742,0.7198697755445129
1071,0.07661411911249161,0.7544236881188393,0.6262745527894622,0.7898511527813732
1072,0.13112470507621765,0.7200610661348058,0.7436343568090273,0.7545430250540001
1073,0.20703521370887756,0.6360910981563452,0.63381684135457,0.5622123748213609
1074,0.17309430241584778,0.4152204315796605,0.02466402005861255,0.2536513515383988
1075,0.06686603277921677,0.6984461147229483,0.3669733418128821,0.6542566952222021
1076,0.18394367396831512,0.6162468720789283,0.6015469952834746,0.5463724203588678
1077,0.06719253957271576,0.8455192095102336,0.6824177110913678,0.8568698358152075
1078,0.05221748352050781,0.7889008034487566,0.367159391455788,0.6607884018618608
1079,0.016716845333576202,0.7110556611584067,0.322100022195427,0.7879913554120002
1081,0.10672828555107117,0.4755495217685714,0.11223280135258988,0.8133255367339947
1085,0.062426745891571045,0.7617371545167602,0.6440227118878279,0.9060307507764338
1086,0.13937126100063324,0.8164156549087993,0.8657907059111825,0.802420442657585
1087,0.0475892573595047,0.7233876449902272,0.4098202500772173,0.8627726879846612
1088,0.03199431672692299,0.4745612506293964,0.00023280691013218298,0.3455567190693313
1089,0.015620158985257149,0.9371688497240722,0.7180074033136538,0.9503854321603118
1090,0.15424206852912903,0.42607430681636604,0.05453152027764357,0.26063832852771085
1091,0.10284068435430527,0.7484462895451764,0.5399789092610303,0.7583500075165397
1092,0.34612926840782166,0.38328084689488706,0.320681546301191,0.38991253809467696
1093,0.1028510332107544,0.5375587836628106,0.04970438757641423,0.4102021606738455
1094,0.09337519854307175,0.7775153013928046,0.5835246089456426,0.8544838004058913
1095,0.08134860545396805,0.8825293043308206,0.7695471699071168,0.8894805825089088
1096,0.19457374513149261,0.5752942658175103,0.5020644176436165,0.49882623904634255
1097,0.059468090534210205,0.5930989559221098,0.13626324670019221,0.51602211348655
1098,0.028442133218050003,0.8888110793935828,0.5930648160162205,0.8156809045272994
1099,0.15802311897277832,0.431535815996279,0.1543724190476868,0.2876836649758589
11,0.042109351605176926,0.5108561451085268,0.039146436965499305,0.37857227412416705
1101,0.13782823085784912,0.6070380617875475,0.2375685439715074,0.6776833465058619
1102,0.0798075720667839,0.7959502745070454,0.7748096740348883,0.8007427275353365
1103,0.023689892143011093,0.56423643797672,0.04890896650337044,0.5173573908441758
1104,0.03723692148923874,0.9051171020215025,0.7136387339975965,0.9227477593153472
1105,0.4672951400279999,0.44584817302471746,0.6321104830109564,0.3816729757780658
1106,0.06586038321256638,0.6172814709388492,0.18262495862001374,0.5824472783202467
1107,0.062443606555461884,0.5528100805225743,0.1569567898538621,0.3542305260916133
1108,0.05308473855257034,0.5527511250347645,0.09530567842966521,0.603490810700267
1109,0.11830437928438187,0.7090338401368956,0.7063694068134749,0.6491044555946562
111,0.05980459600687027,0.49098703206942035,0.04368156749336103,0.6539886005447915
1110,0.5618932843208313,0.37263247972325525,0.5984902936487932,0.2692777523001383
1111,0.04858730733394623,0.8752993571037031,0.6123987567717468,0.8958841273227066
1112,0.09457788616418839,0.6576390416125542,0.3925336840106499,0.7695149462350404
1113,0.10234884172677994,0.6031093385714834,0.33792510877844406,0.4656905434265544
1114,0.13407957553863525,0.6364501956503484,0.5565016863598699,0.5648906943372584
1115,0.024259909987449646,0.7765225942280158,0.37998727924173664,0.8363477075141833
1116,0.06395301222801208,0.7967459437365054,0.3903712606955209,0.7358665693929716
1117,0.03171618655323982,0.6948742039655795,0.27242120454949575,0.7919885831854278
1118,0.07487906515598297,0.5964486302885743,0.4200107227562663,0.4451823110591676
1119,0.4947529137134552,0.4359645103521397,0.606572588328295,0.3270480548007428
1120,0.14317551255226135,0.5339600162539418,0.14897460341705435,0.6734644585960416
1121,0.05542408302426338,0.7140869686056912,0.3496593863943242,0.8413234346676004
1122,0.06695615500211716,0.5293871338423785,0.0348502355626252,0.41539378206506616
1123,0.06857345998287201,0.5699553586694989,0.1691150320111241,0.7599169969518824
1124,0.05956311523914337,0.7949960091277322,0.4299503376576384,0.8029081931360322
1126,0.028167391195893288,0.8277529299860514,0.5341602237652813,0.732845025071515
1127,0.06394270062446594,0.6678717584209548,0.41050173313034544,0.7941992593031102
1128,0.10669432580471039,0.7796730205182967,0.8050903951792356,0.7955751923709957
1129,0.04986035078763962,0.7622904718293717,0.5218210229577399,0.8704592799027849
1130,0.18732692301273346,0.4098119979978825,0.05348506599257304,0.26071508485244954
1131,0.07097216695547104,0.6558698380829612,0.20380934609373083,0.6007268495582656
1132,0.036255862563848495,0.8720402065388333,0.6003601448154625,0.9037669170976639
1133,0.09977798908948898,0.8451807564481597,0.7810197914399515,0.8344417324055857
1134,0.034572333097457886,0.8444712777427853,0.5536574755613816,0.9023781964516895
1135,0.0789802074432373,0.5248106465488198,0.05767818076098916,0.5389456698042705
1136,0.19635610282421112,0.6168539243591382,0.6045321712874687,0.5835604136753272
1137,0.038951288908720016,0.8486151184544541,0.5612623518524534,0.8903946569334258
1139,0.19327524304389954,0.6389150246710622,0.5565405513288869,0.6704736756940518
114,0.12675471603870392,0.774880805580924,0.7950915347180909,0.765018596565785
1141,0.04550143703818321,0.7670360898040118,0.48764909365208875,0.8779393414712786
1142,0.20333802700042725,0.6634123448628593,0.7498756729677399,0.6504528257269977
1143,0.03694543614983559,0.5790238653014426,0.13090862948412801,0.5472385285724807
1144,0.13089053332805634,0.5691543548409135,0.16739760733694004,0.6308772344552392
1145,0.3244980573654175,0.4212836639187309,0.47813189310249155,0.4235586146438055
1146,0.14145348966121674,0.7603216383701521,0.7788886584116314,0.704495342230175
1147,0.07134677469730377,0.8456636731810152,0.7949781560757381,0.8089752499860068
1149,0.03844248503446579,0.917675203705282,0.6574140305175394,0.877624773996608
1150,0.04534706845879555,0.8704748056399252,0.48801364487380283,0.7278147192876574
1151,0.4479680061340332,0.5248850029413733,0.6930786854953804,0.3915907155617562
1152,0.06154324486851692,0.6342650488974904,0.14823846105786867,0.6487239204501553
1154,0.08798042684793472,0.45532432899385844,0.021920413532178256,0.572480965323896
1155,0.3424473702907562,0.5944065322918048,0.7317489574273096,0.5157585257419299
1157,0.07375558465719223,0.5068881280838444,0.021585266568053967,0.34263334001802265
1158,0.5606715083122253,0.34855850412382594,0.5777101999744211,0.26661290190013087
1159,0.30522602796554565,0.5140380958321369,0.6059235623360975,0.48028185363133785
116,0.09225641936063766,0.4628864770253483,0.11214135687536336,0.27986641152435776
1160,0.16115252673625946,0.6855795468753185,0.7771194168968047,0.7195456109178768
1161,0.25825533270835876,0.5677812048949799,0.5602985037270669,0.4782635136257446
1162,0.28740981221199036,0.620704460243551,0.7482558876195868,0.5713180976941938
1164,0.03153463080525398,0.9281091483252071,0.7374265192553529,0.8870285290464691
1165,0.10813107341527939,0.6355373350501275,0.5195007702715827,0.6800930734776447
1166,0.06521204113960266,0.8682358446874909,0.7690879547979831,0.8716016510583902
1167,0.03892001882195473,0.9020394228744265,0.7890108350315882,0.9195038791053936
1168,0.23003467917442322,0.4029885016416555,0.19123583550224624,0.30620635153442677
1169,0.309792697429657,0.5172244840021553,0.47606797602690665,0.41761350617035803
117,0.05768971890211105,0.5795757374614064,0.16712738044345574,0.5556061542055145
1171,0.07482060045003891,0.871947714001098,0.7258100351049831,0.8820628001122508
1172,0.09939480572938919,0.8497006935109167,0.8425286202704978,0.8455427877979661
1173,0.3101973533630371,0.35045219105437714,0.08928947175051895,0.26738228297137534
1174,0.04560118168592453,0.8306072219187011,0.4162711466721467,0.745567801799785
1175,0.27565479278564453,0.587008308149058,0.5870725491284795,0.6112986746634252
1176,0.06622911989688873,0.8760748372994142,0.7016381282434699,0.8491075214393169
1177,0.3276251554489136,0.5704142064576204,0.6645678070571254,0.5018313817690279
1179,0.33237990736961365,0.33638656780644627,0.04694811989541023,0.2577111810590411
1180,0.16187256574630737,0.7948503389586279,0.8039736579953592,0.7609301623030443
1181,0.050236087292432785,0.6880014323409251,0.2684732982603013,0.7632032441460023
1182,0.2794942557811737,0.37477532498079735,0.17571349116107055,0.29195310005973596
1185,0.15741948783397675,0.5103996883985661,0.4217528446073747,0.44330538792801116
1186,0.26037511229515076,0.4028979311606261,0.007948314772838682,0.2786093693199997
1187,0.17369922995567322,0.6149439154000005,0.6749022964448433,0.5956736607700679
1188,0.06948547810316086,0.7097608401875852,0.2964332961487211,0.762802416723598
1189,0.32771939039230347,0.6568675720098112,0.747803964913392,0.5473407944369577
1190,0.12250133603811264,0.8172372157862988,0.7616149403963497,0.7819388439023454
1191,0.11493749916553497,0.4537001813373182,0.10337503253407518,0.3870122836570787
1192,0.27664294838905334,0.419657580251683,0.3700525424533067,0.356954141276695
1193,0.13654109835624695,0.49456945970630667,0.3372430817382966,0.40476199692088566
1194,0.5995071530342102,0.2036045345529746,0.059090432904855036,0.25287932991361994
1195,0.08555591851472855,0.5799291739385511,0.3581859220782049,0.4897694666517947
1196,0.3314845561981201,0.4885933874945625,0.620177871843149,0.45872546440789397
1197,0.15687909722328186,0.5026625813185448,0.2769219013460902,0.4613100007288366
1199,0.15071412920951843,0.8241184528886674,0.7840353621005528,0.772259432179544
12,0.16657772660255432,0.5982831521302927,0.37196613524860633,0.5633750858822791
1200,0.12594974040985107,0.8176549012815424,0.8204542881248549,0.8347353377921142
1201,0.3381058871746063,0.41353062232341664,0.38300254560163827,0.3470354908883333
1202,0.270657479763031,0.6024044282270236,0.7382930780055934,0.5816423428216304
1204,0.060615070164203644,0.7070617659290264,0.389412576987795,0.8453253715852176
1206,0.11908400058746338,0.6876076281210959,0.4357812540542747,0.8138131632150345
1207,0.09471698850393295,0.5171441961438955,0.019931897088621135,0.3166959560347078
1208,0.05331624671816826,0.7106648635038393,0.46318628088426717,0.7665683404047046
1209,0.06941428035497665,0.6786382250129515,0.31518395978854247,0.7686259825364887
1210,0.08459220081567764,0.4551495001240098,0.007955466348803866,0.33586955305277266
1211,0.06773365288972855,0.4510828919026976,0.00016053908893253927,0.3267866450325088
1212,0.14897117018699646,0.7032795683884274,0.33071769834751563,0.7022405178037737
1214,0.06809160858392715,0.5767714487508189,0.16030311721608115,0.6769848524865967
1215,0.08671268075704575,0.4694534897791579,0.03381345957491115,0.5889278901712205
1216,0.08544014394283295,0.6067008950409496,0.3339248746705969,0.6122276380323117
1217,0.13436022400856018,0.8398727362481629,0.7860493250451727,0.8180730093583325
1218,0.09259501099586487,0.5609982779399673,0.09651275661900695,0.6725681295935181
1220,0.17153683304786682,0.49917549500853386,0.0621658156807994,0.39597505141635914
1221,0.13783660531044006,0.6016092045563014,0.41722921252708295,0.6019547492710038
1222,0.10340585559606552,0.7709147415687309,0.6626862529779716,0.8064974228745074
1223,0.09158237278461456,0.7160336286498168,0.5655426639736814,0.6895663805332265
1225,0.155628502368927,0.6524708366044809,0.4317367445711777,0.7739468971990158
1226,0.13234390318393707,0.7194507088387679,0.5377062031122544,0.80446271519875
1227,0.11393050849437714,0.8401992949239536,0.7788596268126752,0.8197787013495597
