image,MAE,Sm,wFm,Em
COD10K-CAM-1-Aquatic-1-BatFish-2,0.12154916673898697,0.7755831525042957,0.6950333454010018,0.7786458233065174
COD10K-CAM-1-Aquatic-1-BatFish-4,0.23899325728416443,0.5282672449463336,0.5710273549654222,0.48474192085115764
COD10K-CAM-1-Aquatic-1-BatFish-5,0.11161017417907715,0.7551940017822425,0.6995810450227075,0.8020373923646309
COD10K-CAM-1-Aquatic-1-BatFish-6,0.03462562337517738,0.7973351281189309,0.44736936937618155,0.8424437594777408
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-416,0.06719670444726944,0.6973783552823918,0.4515618887277947,0.854826533296043
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-419,0.2181835174560547,0.4301579638143775,0.12146242694384383,0.7043536206072099
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-422,0.20189963281154633,0.578005484524634,0.5402286433954048,0.6239544671395332
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-423,0.25380176305770874,0.49910727150037515,0.48028945049476557,0.5040296084765581
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-429,0.37313082814216614,0.37859844731109127,0.2977696895025087,0.31901485676658076
COD10K-CAM-1-Aquatic-11-Octopus-430,0.09910815954208374,0.8099467790752531,0.6974286576828134,0.8560987329042359
COD10K-CAM-1-Aquatic-11-Octopus-436,0.23085591197013855,0.6426800601159877,0.6691070246535389,0.5979060952162718
COD10K-CAM-1-Aquatic-11-Octopus-437,0.200694277882576,0.7481177831891416,0.7929780948187525,0.6842325081186236
COD10K-CAM-1-Aquatic-11-Octopus-441,0.16515213251113892,0.7339999831358106,0.6564611730593355,0.711768262691344
COD10K-CAM-1-Aquatic-11-Octopus-444,0.14531055092811584,0.7744183642541311,0.6521702412366909,0.778689038922607
COD10K-CAM-1-Aquatic-11-Octopus-445,0.09952455759048462,0.6829133132806076,0.445541084160738,0.8310636457302065
COD10K-CAM-1-Aquatic-11-Octopus-447,0.0867813304066658,0.6633419321923882,0.26637975302627515,0.6608724590411306
COD10K-CAM-1-Aquatic-11-Octopus-451,0.07636633515357971,0.7252933286664767,0.33268344557009344,0.7787960106430409
COD10K-CAM-1-Aquatic-11-Octopus-452,0.06970414519309998,0.84861140087315,0.49104874781251195,0.8056033484705334
COD10K-CAM-1-Aquatic-11-Octopus-453,0.1331554800271988,0.7601885898495799,0.5481106131126623,0.7950268747517126
COD10K-CAM-1-Aquatic-11-Octopus-454,0.1668604016304016,0.4241029079756303,0.007909341633042466,0.34620822070804497
COD10K-CAM-1-Aquatic-11-Octopus-458,0.30026930570602417,0.4465033240244556,0.4758562376947219,0.40161745811903343
COD10K-CAM-1-Aquatic-11-Octopus-462,0.19162887334823608,0.7513918249070151,0.7486708155046947,0.7029470899222431
COD10K-CAM-1-Aquatic-11-Octopus-463,0.2821684777736664,0.4844302209681184,0.5198399445586342,0.4423809050080823
COD10K-CAM-1-Aquatic-11-Octopus-464,0.09782402217388153,0.7960442403072125,0.6960827495172264,0.7217095251255466
