image,MAE,Sm,wFm,Em
COD10K-CAM-1-Aquatic-1-BatFish-2,0.12010461091995239,0.7694836500166606,0.709752864988163,0.7691579443757754
COD10K-CAM-1-Aquatic-1-BatFish-4,0.20471324026584625,0.5991689387380864,0.685120064003801,0.5929088049353398
COD10K-CAM-1-Aquatic-1-BatFish-5,0.1207893043756485,0.7203563989501365,0.6777948194097674,0.7774420673444593
COD10K-CAM-1-Aquatic-1-BatFish-6,0.03091016225516796,0.8249105825130285,0.4886296661274423,0.8438961592879708
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-416,0.08123337477445602,0.6587948197013422,0.3791471757421966,0.8368800449990279
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-419,0.20417986810207367,0.4602120625085166,0.15587254935895467,0.6845379627151034
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-422,0.1985468864440918,0.6041549660782931,0.5507781459615323,0.6444586910639183
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-423,0.24616549909114838,0.5455525063839055,0.5175882350524726,0.5699153917710134
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-429,0.3801118731498718,0.35010642366651773,0.25304256649295764,0.30347389519453843
COD10K-CAM-1-Aquatic-11-Octopus-430,0.10993350297212601,0.7788661702595768,0.6389645446037453,0.8545473103759615
COD10K-CAM-1-Aquatic-11-Octopus-436,0.2729205787181854,0.5204354103882487,0.5644347808668388,0.4684227623534008
COD10K-CAM-1-Aquatic-11-Octopus-437,0.19375115633010864,0.7627536482193151,0.792823703126131,0.7043352586914445
COD10K-CAM-1-Aquatic-11-Octopus-441,0.1717274934053421,0.7360980247888208,0.6212389362957215,0.7080842575080495
COD10K-CAM-1-Aquatic-11-Octopus-444,0.14623673260211945,0.7689702433683823,0.6923326361222297,0.7358151846571915
COD10K-CAM-1-Aquatic-11-Octopus-445,0.10712209343910217,0.6721642241503591,0.4102628161022036,0.8035368143772601
COD10K-CAM-1-Aquatic-11-Octopus-447,0.1277972310781479,0.6040597054587227,0.19588744387531684,0.587733094903015
COD10K-CAM-1-Aquatic-11-Octopus-451,0.10825767368078232,0.6814016848388362,0.2413393711767731,0.7282631521058895
COD10K-CAM-1-Aquatic-11-Octopus-452,0.06961912661790848,0.8535412711519665,0.5033660635134022,0.6958954034481117
COD10K-CAM-1-Aquatic-11-Octopus-453,0.13521677255630493,0.7578169339770762,0.5585897239931295,0.7682751436113906
COD10K-CAM-1-Aquatic-11-Octopus-454,0.2050914168357849,0.4093636087687811,0.008159664657461341,0.3198690590311861
COD10K-CAM-1-Aquatic-11-Octopus-458,0.28593432903289795,0.48040758143049705,0.5336182393473263,0.44017787310429735
COD10K-CAM-1-Aquatic-11-Octopus-462,0.19206354022026062,0.7534182703486192,0.7111575948936887,0.7373834950758915
COD10K-CAM-1-Aquatic-11-Octopus-463,0.24912457168102264,0.5642698853862416,0.6283079558832124,0.5342580857034902
