image,MAE,Sm,wFm,Em
1002,0.08638390153646469,0.6304004918561412,0.31196033280107577,0.7426762104222289
1003,0.14853402972221375,0.42803630566192785,0.021409024030676366,0.2516561749886327
1004,0.11457758396863937,0.546701919702041,0.08042288427991783,0.5397578902523668
1005,0.19214025139808655,0.4053994188882383,0.014151802776974769,0.2520951654321544
1006,0.45060139894485474,0.38444999245062444,0.496206562910523,0.3445359432637928
1007,0.11437497287988663,0.5436405341726336,0.06719406510018992,0.4343994221742817
1008,0.07120482623577118,0.6946948309187383,0.2615319068695149,0.7168075080784837
1009,0.07378475368022919,0.6016464362241503,0.30314988263707904,0.5255016345472593
101,0.0890159085392952,0.4596210532129046,0.07749556469431804,0.31580693470288645
1010,0.03482545539736748,0.557641221365702,0.040225327568540865,0.4241467258823621
1011,0.07871678471565247,0.6852338950444873,0.20542634301808352,0.6306855314932946
1014,0.2157389372587204,0.6954062021989713,0.7798956750500062,0.6579136973894286
1015,0.0527021698653698,0.6757707034673477,0.27444128414319435,0.7238645296261109
1016,0.20068667829036713,0.4495358492561765,0.21229181862476224,0.43952202947376734
1017,0.056718211621046066,0.6020525879652687,0.24846980742617658,0.7518530489332651
1018,0.20200437307357788,0.7455473639330268,0.7863765961248333,0.7094184128167078
1019,0.0363733172416687,0.5349463731581671,0.1290205638995752,0.34166368113402346
102,0.060399871319532394,0.792732583345821,0.6772733855344859,0.7982273427840675
1021,0.09751872718334198,0.6061282138402502,0.3130420078099736,0.5564084014305852
1022,0.06737057119607925,0.7249230496788557,0.5824833236353835,0.6351972055683199
1023,0.044213782995939255,0.5038433298794024,0.07247065281666261,0.48201702331480056
1024,0.07961725443601608,0.7498411900102522,0.3810731836480326,0.7578599341331127
1025,0.31091219186782837,0.5766779734744254,0.6075618908356443,0.48371483642797475
1027,0.23265588283538818,0.5893404947994709,0.6355596988874462,0.5294128051754572
1030,0.2468809187412262,0.5896541071977602,0.5555659932681836,0.5170606343164671
1031,0.03968849778175354,0.8805390387837421,0.6822889166495236,0.917940553093803
1033,0.05286996066570282,0.6967603890770198,0.19284970364487666,0.575228909913118
1035,0.02173733338713646,0.7339399421567588,0.42953899187768735,0.6101753059229256
104,0.05226901173591614,0.7760301583712148,0.5187331632169666,0.8682311017212065
1040,0.07715999335050583,0.7465693405304827,0.48979896959207286,0.8007474123488856
1042,0.047219760715961456,0.5322683334824468,0.19045860270881693,0.3518985771718583
1045,0.13081485033035278,0.659304374529219,0.599042371339813,0.6514737737686577
1046,0.20493708550930023,0.6393442838074627,0.6510442346019881,0.5852603561583332
1049,0.06622044742107391,0.4709255220246872,0.04589182695838332,0.2609995010560543
1050,0.10214110463857651,0.4587875404015052,0.09356450095964657,0.2737883946014157
1051,0.25682303309440613,0.37429422744342095,0.038231714238794824,0.25506732220679856
1052,0.06422927975654602,0.5016048694260271,0.10394042261759728,0.4446002671803616
1055,0.06508511304855347,0.47268586803861573,0.029385743844182247,0.3427379846507408
1056,0.06862341612577438,0.7249634171555825,0.38644999941142194,0.7438809605684398
1057,0.10865136981010437,0.5433471243545095,0.25910379739509365,0.5810582084878895
1058,0.08490362763404846,0.5846822502083362,0.19192675291818542,0.7217543438628418
1059,0.2497517168521881,0.42254100453287374,0.3238225641366295,0.34887270002234655
106,0.06696563959121704,0.6259548522481141,0.08648276071195206,0.4788958526959537
1063,0.06434699892997742,0.9078769477000306,0.8868581051134004,0.8935808015770605
1064,0.09150756150484085,0.5252311316586072,0.22165148259465856,0.36273974526212294
1065,0.03238755464553833,0.8371829928905188,0.6552427069063675,0.8127494917024847
1066,0.036595746874809265,0.7595802239704557,0.357259846148856,0.793076640196583
1067,0.14161443710327148,0.5352327709841553,0.4170987285681526,0.42254671063303667
1068,0.12915316224098206,0.4471824125459019,0.12865940270977966,0.2883756105429199
107,0.017526259645819664,0.4956069989663113,0.013766447494554525,0.2543516205435947
1070,0.19502347707748413,0.5913927685435424,0.5139791974297908,0.7021559458321449
1071,0.05531022325158119,0.848459412481916,0.7281579113330563,0.8685800667391327
1072,0.13110458850860596,0.7199184399034151,0.7465248319721801,0.74681972483136
1073,0.18162310123443604,0.6991709159724651,0.7043554337404285,0.6417394005640216
1074,0.1742657721042633,0.4159061964108307,0.03222544078041538,0.25297613922754
1075,0.04831431061029434,0.8011599949315533,0.525426555227867,0.777924677732024
1076,0.2203240543603897,0.5807828920874363,0.435075354698463,0.5867863899316759
1077,0.06466501206159592,0.8395806314921421,0.7347208227573786,0.8235181801839437
1078,0.0524328276515007,0.7410855804644394,0.3424929336289152,0.6162435771539648
1079,0.019884513691067696,0.679008613199417,0.27930091723996675,0.7663338736783669
1081,0.12484769523143768,0.4884943973104247,0.10112463748162188,0.7897759090525631
1085,0.07262131571769714,0.7417157132247256,0.5705746768763945,0.9035519743185134
1086,0.11666423827409744,0.8657776469602919,0.8836583699858477,0.8346371398471315
1087,0.045138049870729446,0.7242324259840168,0.439924885641158,0.8632085068948039
1088,0.04950766637921333,0.4660521100858904,0.00020157702699325988,0.31733663965456194
1089,0.013711887411773205,0.9556217036401075,0.7824750592999816,0.9462558716547264
1090,0.1562090367078781,0.4241782479329225,0.026129146258710243,0.25382095086690404
1091,0.11235478520393372,0.7338220553720092,0.4919183989356111,0.6648538825160517
1092,0.36981067061424255,0.33020267140166304,0.18984743264943607,0.32994775043525115
1093,0.0651106983423233,0.5239063843556184,0.05164975848412878,0.5117526175377712
1094,0.10260958224534988,0.7504026649780642,0.5485042295560333,0.8195708396833121
1095,0.06525495648384094,0.9210797578385612,0.8421281055249054,0.8989188366036722
1096,0.18708272278308868,0.5927072448637574,0.5513981954136089,0.5012220348504138
1097,0.0579715296626091,0.597374289717863,0.13353875791144254,0.4940494482182401
1098,0.024170801043510437,0.9071607894547384,0.6391321656520337,0.8894323892275761
1099,0.16039729118347168,0.427779502984332,0.11816304175149919,0.27762735798978766
11,0.039590973407030106,0.48465141595075917,0.014677660044856135,0.3059975396417073
1101,0.15254709124565125,0.6137838160925364,0.22383895093356992,0.6666197632202122
1102,0.08270024508237839,0.7834807866247333,0.762786912624916,0.7917656651749398
1103,0.027159208431839943,0.6094155172228164,0.08097380184526348,0.45118464430422134
1104,0.04025852680206299,0.8794920119331904,0.6825434302576886,0.9229364569488792
1105,0.57178795337677,0.28813410695132263,0.4106566079185498,0.27441449371122684
1106,0.052397049963474274,0.6511185583494313,0.16566431095487752,0.6306593884668736
1107,0.059000611305236816,0.48067280218794917,0.05477455681335559,0.27853930873247845
1108,0.05047887563705444,0.5659946949752506,0.11500405066291061,0.6033493195946094
1109,0.14953474700450897,0.632573949653308,0.5353472327047339,0.5210876471490913
111,0.06589734554290771,0.5347865730360051,0.06414100191927302,0.5700851996843256
1110,0.6305033564567566,0.29152764380927454,0.46164433676858524,0.2117006610570869
1111,0.04594246298074722,0.8722975755010993,0.6393363351048387,0.9070440942507163
1112,0.10382542759180069,0.5995646864314712,0.3071765086113497,0.6435435063678677
1113,0.0818387046456337,0.7303873700474459,0.5224989262525029,0.6760696205489669
1114,0.1280967891216278,0.6279113743098927,0.5960882717495084,0.6234662942231932
1115,0.03270773962140083,0.7176365090472102,0.3034926683159686,0.7445241596108457
1116,0.08787615597248077,0.7443618698579706,0.2974027926005366,0.6610705247961942
1117,0.03245195373892784,0.6879018443453255,0.260880952345421,0.7950248130206696
1118,0.0766652375459671,0.5683036328999554,0.3819573628221371,0.4147160511481187
1119,0.48609480261802673,0.44452390804872577,0.6214054380384746,0.33751748315223784
1120,0.10369924455881119,0.5373568630877538,0.1812640266192671,0.651601378941429
1121,0.07302723824977875,0.6895703648700919,0.3048679009204089,0.734487478916359
1122,0.08019588142633438,0.5594850533373397,0.0426880157997574,0.3766489251061247
1123,0.07389118522405624,0.4508201281116893,0.0218637851358614,0.6706217386435338
1124,0.046810973435640335,0.8381417906970828,0.4962542813091328,0.8397874644229507
1126,0.03139840066432953,0.8171689296581113,0.4831185953115844,0.8357858767929212
1127,0.0759529396891594,0.5435536272865362,0.24071510311839853,0.6532613559626542
1128,0.10393571108579636,0.8118950919406576,0.7765603920785685,0.8215994486209288
1129,0.04865061119198799,0.7639087578145276,0.5285774936421723,0.8741900045801538
1130,0.18545107543468475,0.41400155293484053,0.09052455182902738,0.2679314326920892
1131,0.090815469622612,0.6300317182769889,0.16634058016853168,0.5551474334932588
1132,0.035406872630119324,0.8857563021668098,0.612503379706381,0.8973789164927732
1133,0.13383080065250397,0.7758266256475532,0.7266631802994525,0.7084261586884611
