image,MAE,Sm,wFm,Em
COD10K-CAM-1-Aquatic-1-BatFish-2,0.11652352660894394,0.7788991643037559,0.7194519309719125,0.7810213023282425
COD10K-CAM-1-Aquatic-1-BatFish-4,0.20160068571567535,0.606145122348586,0.6928500479550548,0.6059805753129703
COD10K-CAM-1-Aquatic-1-BatFish-5,0.11694132536649704,0.7373960709042828,0.6829371926609746,0.7949936228046084
COD10K-CAM-1-Aquatic-1-BatFish-6,0.03386346623301506,0.7929582241377107,0.4546839779534751,0.8378867400977379
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-416,0.08068181574344635,0.6598747583829196,0.3838982959149114,0.8415189325920956
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-419,0.20235329866409302,0.45852231038378677,0.15155963867652195,0.6801983315136242
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-422,0.19574688374996185,0.6073962849407086,0.5616222158937557,0.6499596396781695
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-423,0.2450943887233734,0.551485573852244,0.5219798713773804,0.5782877855576479
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-429,0.3832070529460907,0.3418600707803269,0.23388868345348543,0.2984236120725797
COD10K-CAM-1-Aquatic-11-Octopus-430,0.10995616018772125,0.7811032188331324,0.6422338453021215,0.8510004424404931
COD10K-CAM-1-Aquatic-11-Octopus-436,0.2787196934223175,0.5086340869016659,0.5434919062216174,0.45233237200893284
COD10K-CAM-1-Aquatic-11-Octopus-437,0.18894538283348083,0.7723382284558264,0.7997968004927065,0.7119193658332102
COD10K-CAM-1-Aquatic-11-Octopus-441,0.16928379237651825,0.7412200466424647,0.6264843201685683,0.7165046739360816
COD10K-CAM-1-Aquatic-11-Octopus-444,0.144951730966568,0.7711804942025887,0.6854607455337954,0.7510119136094122
COD10K-CAM-1-Aquatic-11-Octopus-445,0.1099424809217453,0.6670929440883262,0.39966817814182487,0.7999134968619286
COD10K-CAM-1-Aquatic-11-Octopus-447,0.12874265015125275,0.6074381737669121,0.19379520542845377,0.5831378483189764
COD10K-CAM-1-Aquatic-11-Octopus-451,0.11237373948097229,0.6828693048779644,0.24140307586950352,0.7073034312967741
COD10K-CAM-1-Aquatic-11-Octopus-452,0.06192944943904877,0.8920333673346428,0.544119822105945,0.7597468345241364
COD10K-CAM-1-Aquatic-11-Octopus-453,0.13448601961135864,0.7583566383917717,0.5586879696245407,0.7730103651229793
COD10K-CAM-1-Aquatic-11-Octopus-454,0.19514919817447662,0.4166800492165599,0.009301006341607132,0.32563154338169115
COD10K-CAM-1-Aquatic-11-Octopus-458,0.27907124161720276,0.4996783060614972,0.5579585773467469,0.4588626238227416
COD10K-CAM-1-Aquatic-11-Octopus-462,0.18543477356433868,0.7605786813484761,0.725563063700472,0.7454030072832675
COD10K-CAM-1-Aquatic-11-Octopus-463,0.2584887444972992,0.546355682791291,0.6001653389733154,0.5135923896879555
COD10K-CAM-1-Aquatic-11-Octopus-464,0.09678719937801361,0.8074199480999205,0.6996048996374744,0.7110351119706939
COD10K-CAM-1-Aquatic-11-Octopus-465,0.20892487466335297,0.5171872273368328,0.27177546860633744,0.6707882848414081
COD10K-CAM-1-Aquatic-11-Octopus-466,0.09170078486204147,0.55284008704585,0.11183974539582732,0.5028169796169124
COD10K-CAM-1-Aquatic-11-Octopus-468,0.09293413907289505,0.81128538049109,0.7063488083918058,0.7935377272957698
COD10K-CAM-1-Aquatic-11-Octopus-471,0.06245643272995949,0.7465709087698935,0.34763667314696894,0.7455955069883126
COD10K-CAM-1-Aquatic-11-Octopus-472,0.23931477963924408,0.6403395639620052,0.6709983211561714,0.5602733978160683
COD10K-CAM-1-Aquatic-11-Octopus-473,0.24220971763134003,0.6418794307491009,0.7524272912671227,0.6315096525029686
COD10K-CAM-1-Aquatic-12-Pagurian-474,0.17036418616771698,0.5542603213750887,0.16334650190155806,0.5172256880791867
COD10K-CAM-1-Aquatic-12-Pagurian-481,0.11641556769609451,0.5034751110367153,0.03385611384485993,0.3762284759786036
COD10K-CAM-1-Aquatic-12-Pagurian-482,0.09488704055547714,0.6888923743839166,0.3098546664921379,0.7258016341055519
COD10K-CAM-1-Aquatic-12-Pagurian-483,0.09895795583724976,0.7421443761001694,0.45303249434357096,0.6698924896356213
COD10K-CAM-1-Aquatic-12-Pagurian-484,0.20731087028980255,0.664324484540478,0.6547461190652952,0.6458262927177347
COD10K-CAM-1-Aquatic-12-Pagurian-486,0.026380406692624092,0.5362260130956907,0.07288841369912827,0.6751642582607822
