image,MAE,Sm,wFm,Em
COD10K-CAM-1-Aquatic-1-BatFish-2,0.12497667968273163,0.7705049434705264,0.6941023190719697,0.7462503335052697
COD10K-CAM-1-Aquatic-1-BatFish-4,0.21101878583431244,0.5899299935683211,0.6649002927367494,0.5759794716607427
COD10K-CAM-1-Aquatic-1-BatFish-5,0.10190647840499878,0.7908176304616765,0.7136233245587301,0.8395414040860779
COD10K-CAM-1-Aquatic-1-BatFish-6,0.03312576934695244,0.7995492027990978,0.4622650823017826,0.8432713855972502
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-416,0.06998541206121445,0.6890804817101519,0.432925621413358,0.8186662021895746
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-419,0.19595791399478912,0.4485451052076578,0.12196726842044928,0.6298664499387917
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-422,0.1904136687517166,0.6436669260304997,0.5748306266687219,0.7171024988595633
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-423,0.2472284585237503,0.5080637437762483,0.5074973276562533,0.5176935850806088
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-429,0.3763052225112915,0.35899266022685744,0.27238772048086435,0.3088991076147225
COD10K-CAM-1-Aquatic-11-Octopus-430,0.107279472053051,0.7818207909747412,0.6362388236271738,0.8597156766751171
COD10K-CAM-1-Aquatic-11-Octopus-436,0.27534762024879456,0.5718165718044381,0.5502859258547992,0.5069486896122781
COD10K-CAM-1-Aquatic-11-Octopus-437,0.2148476243019104,0.7310429176564442,0.7599973048469565,0.6633046343098409
COD10K-CAM-1-Aquatic-11-Octopus-441,0.13731858134269714,0.8121305397884129,0.7059661840880622,0.7767004291638206
COD10K-CAM-1-Aquatic-11-Octopus-444,0.1537274718284607,0.7458406252685501,0.6761427457592718,0.710315505472235
COD10K-CAM-1-Aquatic-11-Octopus-445,0.09357699006795883,0.7102682417033825,0.48041446321900755,0.8318371286692297
COD10K-CAM-1-Aquatic-11-Octopus-447,0.11606814712285995,0.6199319558782348,0.2110672542780337,0.5910224389421732
COD10K-CAM-1-Aquatic-11-Octopus-451,0.11096617579460144,0.6881457165206069,0.23499870780919038,0.7116575054839124
COD10K-CAM-1-Aquatic-11-Octopus-452,0.0727856308221817,0.8505735956654691,0.4812008580121029,0.7654667884526922
COD10K-CAM-1-Aquatic-11-Octopus-453,0.1361299604177475,0.7341478790698868,0.5682964171191196,0.7295698918625029
COD10K-CAM-1-Aquatic-11-Octopus-454,0.17578808963298798,0.4244753359275107,0.009094721747971001,0.34957626370374784
