image,MAE,Sm,wFm,Em
1002,0.08424510061740875,0.6494496395825661,0.3338622963931866,0.7875208151777884
1003,0.1471644639968872,0.4279787431123171,0.016845824451057863,0.25197812207196624
1004,0.07985952496528625,0.5718917075325285,0.10221653962722856,0.6074593716870431
1005,0.19121260941028595,0.40549298694880337,0.015335350368292125,0.2515963395300058
1006,0.42905673384666443,0.4238104471141966,0.5545379621705772,0.37638124170290604
1007,0.06754768639802933,0.6247024550374869,0.11799951526481711,0.5399989307394318
1008,0.08673486113548279,0.6814045341413195,0.22564436464808213,0.6757725046730052
1009,0.07156742364168167,0.6258493668652688,0.34189002294650706,0.5580517537325405
101,0.09198234975337982,0.449576955248141,0.028193988843635186,0.3178793941792578
1010,0.0397469736635685,0.48436792799579714,0.0065000842548237694,0.42066717765867867
1011,0.0799921527504921,0.5781903319208932,0.14696518443137188,0.6611122291857503
1014,0.23605839908123016,0.6560553979530678,0.7509017604736228,0.6150173102103239
1015,0.05763091892004013,0.6884507258691717,0.25095576180322465,0.7070911839240062
1016,0.20287807285785675,0.42964177271401177,0.1650374993367382,0.39078834673501706
1017,0.06227691099047661,0.607114313403829,0.21952211707594887,0.7216689446026213
1018,0.21036535501480103,0.7383378305837287,0.7857795640214889,0.6809356976319315
1019,0.042110465466976166,0.6600581087015565,0.25288521097922,0.7021723428551823
102,0.06302149593830109,0.7739975848366314,0.6690367850095523,0.7732042834218721
1021,0.09844520688056946,0.4630826215779944,0.1170678526993854,0.29448499904593584
1022,0.08377528935670853,0.5651546236610645,0.4032718836623027,0.4592756896434418
1023,0.03880611062049866,0.5079653551735366,0.07427299471528237,0.4883943445468684
1024,0.09934309124946594,0.69121914230029,0.3247376775933514,0.6960124630608633
1025,0.31522154808044434,0.5604901448229243,0.5981159967786035,0.4689697496285834
1027,0.211404487490654,0.670719725216992,0.6863628317931365,0.5930179086479379
1030,0.263634592294693,0.5351594646350912,0.49068888828554025,0.43948636349555903
1031,0.04056683927774429,0.881038756424245,0.6842235267710838,0.9176898101373061
1033,0.05520996078848839,0.6791613888492366,0.17621489529558926,0.5785270375135692
1035,0.017348598688840866,0.8729940379339131,0.5432475278693731,0.8561134740028165
104,0.04927494749426842,0.7885774197546795,0.5460535595612922,0.8885728442038736
1040,0.06558553129434586,0.7920355950010327,0.5706248136051346,0.8040314554084336
1042,0.048695020377635956,0.5945002532157815,0.21936827517899002,0.3957318537284183
1045,0.14181619882583618,0.5991565796747023,0.5432905741318471,0.5578722436657405
1046,0.2001422643661499,0.6613713768692486,0.6559391736318738,0.6179844593355649
1049,0.061948515474796295,0.5200108471860907,0.2269843486868187,0.35364126009054675
1050,0.10359563678503036,0.4569525507034957,0.08484513500151007,0.27054227635278855
1051,0.2523173689842224,0.37862643387278655,0.10684860081887039,0.274145833004954
1052,0.061195071786642075,0.5100072187546066,0.10930184343490663,0.45651629915372566
1055,0.06564796715974808,0.4744098597759362,0.028902977140838434,0.34373662273295236
1056,0.09280869364738464,0.6544084153324077,0.2710616783452402,0.7243831372742211
1057,0.10731806606054306,0.5624911519730362,0.27181495926362387,0.5844457649843677
1058,0.08678636699914932,0.5956475456217609,0.21004237142655416,0.7200845861133051
1059,0.2581719756126404,0.3964509955071455,0.2352235276095577,0.3100347880385288
106,0.05759775638580322,0.6163256087756541,0.0892970413764546,0.5040195834151106
1063,0.08039190620183945,0.8797901992699139,0.874044733117688,0.848592380929697
1064,0.09429389983415604,0.4545534483336038,0.02751727464875583,0.26597429526781513
1065,0.03189854696393013,0.8619825547788051,0.6420749901773234,0.8568012189853661
1066,0.04956986755132675,0.6581859689215017,0.20362810875977438,0.7216623706837897
1067,0.14548304677009583,0.5155686349973075,0.37573693521247586,0.39730492490846386
1068,0.12581603229045868,0.4675080822255445,0.2219775426327974,0.3397695698147396
107,0.013699721544981003,0.7110548028712711,0.35025095543660767,0.5809098054895407
1070,0.21081659197807312,0.5501006773238564,0.45769076131933895,0.6382246862846941
1071,0.0851500853896141,0.7251335698877083,0.5777651485712318,0.74793973646415
1072,0.14732016623020172,0.6928552346230947,0.6930450830497261,0.7021379636676117
1073,0.19407464563846588,0.6609507490844193,0.6750945537056704,0.5942378733430794
1074,0.17329783737659454,0.4159275667312293,0.03571287835523712,0.25460001679859573
1075,0.04016290605068207,0.8154259899869787,0.6089170843414116,0.8417216902190237
1076,0.20722006261348724,0.6049262379778275,0.4823669231836256,0.5774379503522407
1077,0.0632113441824913,0.8398960164107929,0.7353841398132721,0.8439407800255454
1078,0.07322587817907333,0.7313958470475627,0.3089842611603509,0.7065181075169604
1079,0.020291807129979134,0.6692997940717191,0.2787984049507369,0.7447468911970944
1081,0.10952216386795044,0.4890875418690123,0.09498422894214999,0.7427891386731963
1085,0.06119951233267784,0.7685536298363338,0.6556387117925738,0.8982103965161077
1086,0.15580186247825623,0.8036369407896395,0.8475875672628831,0.763546617598716
1087,0.04652068763971329,0.7400818419995122,0.4190400313727362,0.8560929662230132
1088,0.04083314165472984,0.4691569679846197,0.0001846886641007411,0.31596407213762034
1089,0.016577353700995445,0.9453362931867483,0.7317467600694754,0.9331328191979775
1090,0.15543679893016815,0.4241784871932953,0.024185368670093722,0.2523132282586934
1091,0.12855583429336548,0.664509211390931,0.3904706037602957,0.5818669348240906
1092,0.35018426179885864,0.3802438704213568,0.30216779193241167,0.3835601867178582
1093,0.07275467365980148,0.539189083595772,0.06332239203443603,0.47535565977733324
1094,0.10499082505702972,0.7201979690767935,0.543620559545721,0.7985244520601966
1095,0.1351381242275238,0.7875403587057284,0.7399475899797778,0.7644788947796831
1096,0.20437125861644745,0.5464551927543659,0.44689992310236115,0.4273131591172611
1097,0.05826546251773834,0.6139766721194757,0.12693477381792367,0.5185423260353044
1098,0.027325809001922607,0.8787998673274001,0.5958709999640064,0.8748198271639647
1099,0.15738080441951752,0.4330098031960768,0.16961377315569245,0.29688215812896646
11,0.03821205347776413,0.5195456244663605,0.04883403435454227,0.3688797644872324
1101,0.13350191712379456,0.6229800451210841,0.23973777945580732,0.6742932134373933
1102,0.07297703623771667,0.8308793666911243,0.7742841354860039,0.8430500310992316
1103,0.021664679050445557,0.6152504371398628,0.07982270309996596,0.4167256467583058
1104,0.032928217202425,0.9170611431468423,0.7465981496116124,0.9371474423546966
1105,0.4886927902698517,0.40917775383143373,0.6026532628576707,0.34168268446791633
1106,0.0902027040719986,0.5601460361601904,0.14529514522088555,0.5172869258699242
1107,0.06548277288675308,0.545574340395381,0.1249434809010871,0.415467187619475
1108,0.05513189360499382,0.534098445053377,0.089613159360975,0.5576458436771513
1109,0.1340292990207672,0.6994989525839352,0.6163969217834793,0.6035122622041927
111,0.05435639247298241,0.5041232003280769,0.05858892619740716,0.6660810484407491
1110,0.6301805973052979,0.2806864938883574,0.4622420521111324,0.22025489198660686
1111,0.047088101506233215,0.8795260093135108,0.6461951100918377,0.8849333769099244
1112,0.08962035179138184,0.7047403436715869,0.41817960659871073,0.7457972547223184
1113,0.09545228630304337,0.740595042124788,0.4422285335328966,0.7521329972446709
1114,0.1319817453622818,0.5895909030843585,0.5820285596304086,0.5968850829698924
1115,0.03160734474658966,0.7197530393449859,0.316025761275083,0.7695248918016278
1116,0.120160311460495,0.6458353185877619,0.24279260074907602,0.6489026017512687
1117,0.03033965453505516,0.7097736238579966,0.27778121920740984,0.817367814903764
1118,0.05706480145454407,0.7684618239198671,0.6349605688346861,0.624179099593685
1119,0.5054356455802917,0.4159000799596433,0.5865979970612811,0.31198715805346033
1120,0.12449075281620026,0.4321167670229356,0.06992098408607154,0.685494189826884
1121,0.04178795590996742,0.7908785469242309,0.46203599995265315,0.8644776013463427
1122,0.06997179239988327,0.4925817414378183,0.023980724623446786,0.41995883196854533
1123,0.09679319709539413,0.4358849632687299,0.008931141208132997,0.6982485912625573
1124,0.033745214343070984,0.8907824119955304,0.5981573395419485,0.9010459355437426
1126,0.029275409877300262,0.7484998472778535,0.5261594600653591,0.6652662231266484
1127,0.07646497339010239,0.5685385791246448,0.2629512123982429,0.6481977658648996
1128,0.11509490758180618,0.7699702202354797,0.7761888514729082,0.7666716711382142
1129,0.04744761809706688,0.7842555034265687,0.541914689511798,0.8522927818263728
1130,0.18526066839694977,0.4121039967671698,0.07594170016888589,0.26453483613452244
1131,0.0720808282494545,0.6773890137794597,0.1920939546587973,0.6104430082253508
1132,0.041453778743743896,0.8559736957374637,0.5612956177563572,0.8875802950455169
1133,0.12071800231933594,0.8148305246884993,0.7401660929765218,0.7642060846221149
1134,0.03589489310979843,0.8623163494505993,0.5378095657071058,0.8816625976000508
1135,0.04712487384676933,0.6373315841791678,0.13783676963102134,0.6954777209922202
1136,0.21003727614879608,0.5688329933349254,0.5613814768063967,0.5289540845601416
1137,0.038122765719890594,0.8511531443164122,0.572095904691559,0.9011910352472337
1139,0.19519653916358948,0.6509551249759863,0.5565019897731727,0.6449347524447036
114,0.21656957268714905,0.49978262946120156,0.5207151851969464,0.4470253293539504
1141,0.06317348778247833,0.7086538098875581,0.35469692279179543,0.8607764787216909
1142,0.2413754016160965,0.5768450549421409,0.6688315506377802,0.5512264990558057
1143,0.030902620404958725,0.5820661392137605,0.15723105982364285,0.5808696199107994
1144,0.12024267017841339,0.5987229222346937,0.1943764289210459,0.6722993257765685
1145,0.35493162274360657,0.3546668610805153,0.3262421541020523,0.3334084105732793
1146,0.18092003464698792,0.6543976826314291,0.6769282900832382,0.5912650167643082
1147,0.06623371690511703,0.8723158904211565,0.8072681549492648,0.8271660457535098
1149,0.039066411554813385,0.9100313501720072,0.6632167916721621,0.85093505866391
1150,0.03485856205224991,0.882379719050849,0.5695675298903042,0.861534564950129
1151,0.5170264840126038,0.42398167036855916,0.5842075892942613,0.30854934227428
1152,0.04012585058808327,0.7079287344128735,0.25118050305855527,0.6928839015421003
1154,0.10805303603410721,0.4408722993462597,0.012794629527042408,0.5089880100374624
1155,0.35962194204330444,0.5737051440562508,0.7071674674635979,0.4881851647567395
1157,0.031556859612464905,0.5228632609458232,0.022817430506511964,0.4152242938148435
1158,0.5734132528305054,0.33271179408469254,0.553606097290274,0.2552554442494162
1159,0.2622067630290985,0.5964510836677673,0.708473389364073,0.565710438788892
116,0.09424518048763275,0.45555046507445107,0.03350208185255493,0.2559302637487286
1160,0.16432414948940277,0.7005006745181899,0.7753774711887347,0.7052005728100212
1161,0.25770238041877747,0.5753300735138273,0.5619162778042026,0.47381668734827537
1162,0.276611328125,0.6347329600721232,0.7609678563593588,0.5911005476998092
1164,0.028914453461766243,0.9188425709071272,0.7337178364204419,0.9114803928231634
1165,0.10169941186904907,0.6695117249854291,0.5632997706077406,0.7089291470027468
1166,0.07772311568260193,0.792567794088119,0.7819899667879252,0.7788930163204153
1167,0.04358310624957085,0.8859249707741117,0.7737698315778618,0.9101964441275204
1168,0.1926255226135254,0.5244074065130236,0.4883906850197316,0.46596120443654476
1169,0.3307545781135559,0.4983636570822592,0.40393162750010586,0.4151134975111512
117,0.03910108283162117,0.6404800753076312,0.23044022963045602,0.6310867907741357
1171,0.08617813885211945,0.8616101934762177,0.7252248407648231,0.8229625426276432
1172,0.11222872138023376,0.8309082278570301,0.8157477737651317,0.8129480697228844
1173,0.3006758987903595,0.3668916766817895,0.18610300763849083,0.2932143329201074
1174,0.05182814970612526,0.7769174381221056,0.3477914952279307,0.7210405418848409
1175,0.2806802988052368,0.5664997478195848,0.5900193163268986,0.5646618989097728
1176,0.08549371361732483,0.783880295132007,0.6476270973070163,0.7640837928322205
1177,0.336885929107666,0.5508891704113693,0.6476755849591871,0.48488637915335037
1179,0.33052337169647217,0.33858393667079173,0.06845323499580112,0.262027686193682
1180,0.19028474390506744,0.7326220993740045,0.7788815493452501,0.6997996303142286
1181,0.039314836263656616,0.7146128468959035,0.320473509618808,0.7857634350386028
1182,0.2716357111930847,0.3883267858433871,0.2475292512682278,0.31448648155914793
1185,0.15581874549388885,0.5098851513827151,0.43539320917211205,0.4649869920734857
1186,0.19374912977218628,0.4522246937834495,0.007865395037039544,0.2956617760078285
1187,0.2146686613559723,0.4919513797352153,0.49477127088788597,0.4313272695239449
1188,0.0657758116722107,0.7588074577874173,0.33298395830422756,0.7612193785497852
1189,0.4226486384868622,0.510716343566873,0.5990865991502973,0.39579366668006366
1190,0.17805306613445282,0.6194829945417453,0.6711824138233068,0.5886404872991139
1191,0.10144703090190887,0.5682248443276188,0.3216140606284968,0.5945336282434335
1192,0.2590428292751312,0.46918488325831986,0.47219708315417447,0.41539285274800347
1193,0.14558404684066772,0.441213381861984,0.16503824093438973,0.2983426055872955
1194,0.5989606380462646,0.20440385993788943,0.06361747901531767,0.2535052528954682
1195,0.09166436642408371,0.46777280141612354,0.15689790481271085,0.29922748443226255
1196,0.4042796194553375,0.35552817286691357,0.3714285769369918,0.3270799886302452
1197,0.15729151666164398,0.46919652028584324,0.22526836537448583,0.3748303136826534
1199,0.18380339443683624,0.7363611758754983,0.76769797589778,0.7082446672719565
12,0.1177005022764206,0.7706936948943213,0.6239921333477575,0.7063810143379035
1200,0.15761619806289673,0.77409586111888,0.813494327102711,0.7453289608341696
1201,0.3709351718425751,0.33060296536973527,0.1676662419306182,0.28147569800097516
1202,0.38575413823127747,0.3797326075086268,0.4405180347769472,0.3534426898183857
1204,0.05839800089597702,0.7335031212648904,0.4078351363778915,0.8379660903229611
1206,0.12240177392959595,0.6485628909968632,0.4077105636741445,0.7237101495544618
1207,0.06379769742488861,0.4774303774600503,0.012450939936567474,0.36001168534448463
1208,0.060535676777362823,0.6057142716052208,0.3389278408596619,0.49084218275463887
1209,0.06651562452316284,0.6893965533323151,0.31464839384631366,0.7781186197960139
1210,0.061674509197473526,0.46917830870194627,0.0046592816105434556,0.326904166048526
1211,0.04375068098306656,0.4706333202942821,0.0006054685603612266,0.3503269060859979
1212,0.13089832663536072,0.7231848665931654,0.3572174084398726,0.7132092761895832
1214,0.07720746845006943,0.5778505323438179,0.14945683607677746,0.6028304501801471
1215,0.09698241204023361,0.4808685956951738,0.03307441225195344,0.5548348239362315
1216,0.09811556339263916,0.6230023541181684,0.28378379505320717,0.6649197552718704
1217,0.22584161162376404,0.6698993455130623,0.6917606028183411,0.6052934306501192
1218,0.07651256024837494,0.46290434726529867,0.024661922325118782,0.7487014943341128
1220,0.1674816608428955,0.4975098464748572,0.06339975175647758,0.38881904113097776
1221,0.1292233169078827,0.5605977786443643,0.458407216371378,0.5010967536822616
1222,0.12131404876708984,0.7507122570987542,0.5764859762546428,0.7854058635503549
1223,0.10716485232114792,0.6472137094996315,0.45026999196116607,0.5516947671076795
1225,0.1739960014820099,0.6366057948461836,0.38411011250213406,0.7463342861051216
1226,0.1239079162478447,0.7513868899519154,0.5853398839365591,0.7728872086979224
1227,0.09847085177898407,0.881964969376804,0.8175096825467524,0.8281460015496607
1228,0.09837451577186584,0.7433409241067044,0.6285213750477702,0.7844956883457226
123,0.05641631782054901,0.6286578976109455,0.3386958686179506,0.7711756472283836
1230,0.18083742260932922,0.6215298198825944,0.6163546989307054,0.6300676295384557
1232,0.07994019985198975,0.6126386481153808,0.35682173629636993,0.6812196098368443
1233,0.09949956834316254,0.6439969374079093,0.5097933387378513,0.7092728891972805
1235,0.1649807244539261,0.595985677252634,0.3925427308479225,0.7898062158417443
1236,0.34549859166145325,0.4535851745158064,0.5945414888813034,0.4354093716453572
1237,0.14332224428653717,0.6541043711384988,0.42062035526310604,0.7666136345214687
1240,0.39446309208869934,0.494914765766041,0.631861572515656,0.440617972407492
1241,0.08164375275373459,0.6933466032459578,0.5852917293840869,0.765983781513782
1242,0.05488507077097893,0.7123845006710633,0.47413599122771793,0.7551445498198319
1244,0.18897321820259094,0.4214491891056956,0.21987545104829098,0.311655895161858
1245,0.12159941345453262,0.6367744671340626,0.3345313003855277,0.7481704100029266
1246,0.05158117413520813,0.9049115580690617,0.7179848321601836,0.8737105453158707
1247,0.19946818053722382,0.7009832806716745,0.7906695877919184,0.671804575989609
1248,0.07402746379375458,0.7857268202315838,0.6788383554580095,0.7993243713676781
1249,0.030852463096380234,0.8176782031638083,0.4662991517524147,0.8640943879324422
125,0.1384233683347702,0.6656877884064982,0.5669746765953357,0.5781720429296292
1250,0.08720379322767258,0.8652331433881391,0.8548377942083926,0.8238792548145442
1252,0.3399539589881897,0.37174781680483393,0.3036643236311365,0.32554582326153053
1253,0.08386202156543732,0.7537898717691516,0.589335517585927,0.7428730872318963
1254,0.3613092005252838,0.534256477926309,0.6418166411232921,0.46350248451066617
1256,0.18935105204582214,0.4089517575650647,0.06852069417554225,0.26547051959995555
1258,0.037992652505636215,0.8318373471168218,0.4789641325361247,0.812400603788587
126,0.11283303052186966,0.4458114360491739,0.027632162851576103,0.2541452061604139
1260,0.02152996137738228,0.7784020292896485,0.4373325409611589,0.8152986299221681
1261,0.05488638952374458,0.837146905254155,0.5763796331180613,0.8959454025398149
1262,0.07768192142248154,0.8839745861646796,0.8512869133090013,0.8662273607430228
1264,0.05480240657925606,0.9159890008404742,0.8842722067103643,0.9036574363383441
1265,0.10163932293653488,0.6903240924224373,0.273436411048192,0.6517808918210959
1266,0.040593381971120834,0.7250496823771311,0.34483354232450303,0.8197449685923541
1267,0.09568244963884354,0.5280909928260409,0.18154551273088695,0.7728524084596005
1268,0.44059592485427856,0.44272174524749663,0.5569233092662947,0.37392150796740586
1269,0.0772080048918724,0.5032159449053392,0.10513602236654337,0.7418929359555044
1270,0.06291629374027252,0.7218306627781887,0.4331110942042648,0.6856151815870566
1271,0.050476863980293274,0.7751785534905109,0.5697428379533391,0.8237572632377668
1273,0.1224600300192833,0.6511727427545442,0.5828340588914611,0.6468644587608495
1274,0.08092033118009567,0.5485736568227579,0.23098058769203908,0.7767357773912875
1276,0.06359490752220154,0.6551751583077534,0.5014733625793092,0.5882589324886073
1277,0.06614827364683151,0.8276515333827752,0.6773394020965006,0.8092438189616338
1278,0.04067268967628479,0.4836926022347315,0.019993342501751655,0.2834918525255311
1279,0.07013101875782013,0.7739563156117839,0.5653074393681531,0.7692004760783142
128,0.03983046114444733,0.7818439777318757,0.46227070028518646,0.8788380745037092
1280,0.05967435613274574,0.7075877074979915,0.4692539933629388,0.8051044573053048
1281,0.06277836114168167,0.8264144840726189,0.7489295402413809,0.7584088572914329
1282,0.013668530620634556,0.5060716099752127,0.014964944691419442,0.2694542912514153
1283,0.09200453013181686,0.5534957154397684,0.2731242676017235,0.49574305320646295
1288,0.13308481872081757,0.5582790668395854,0.42410845173835576,0.567348321489727
1289,0.16749443113803864,0.5328322551650235,0.4527945469114899,0.4508828906281157
1291,0.11615287512540817,0.6270162251772491,0.49231900805954515,0.5207992343490531
1295,0.350037544965744,0.3695177220887901,0.3492135456281109,0.333273894183311
1298,0.14976707100868225,0.6329635607089159,0.6234772927488622,0.65457174131692
1299,0.0885743498802185,0.6787055276139987,0.42908136407266667,0.6885678648874566
13,0.1531389206647873,0.4363109785158974,0.09021690612244501,0.6073232744330003
1300,0.05968460068106651,0.4915710834966502,0.041044448259769134,0.49381122368837765
1301,0.12986625730991364,0.6225167030281034,0.45986971141438593,0.603503535062027
1302,0.08450121432542801,0.7473626669096092,0.66898823029064,0.6478932604534615
1303,0.10339923202991486,0.7695751610951871,0.5216686191428999,0.7560875849001426
1304,0.3688783347606659,0.3180741258571386,0.03460709036494704,0.2549445079088498
1305,0.05446496605873108,0.48025472213298465,0.05262166927351962,0.4309446665764649
1306,0.06868470460176468,0.6603902654269773,0.25457649969568896,0.7299498550816756
1307,0.05456041917204857,0.765526161161924,0.3564429077948841,0.7920962582861051
1308,0.07023011147975922,0.6028804106963973,0.17357272010702868,0.6077063538967642
131,0.043531693518161774,0.8262247473249296,0.5846353035684687,0.9054499347910439
1310,0.048543889075517654,0.6375385633263051,0.12233620866254619,0.5932934271421855
1311,0.11524955928325653,0.6507316729154224,0.4433050740823006,0.7356524539358297
1313,0.1854928433895111,0.5852382735576562,0.5717815685423344,0.5212179534409387
1314,0.28612130880355835,0.36342227111955716,0.09352580398996603,0.26489037214878386
1315,0.440964937210083,0.28628036075301105,0.10033222034237128,0.2621658810947174
1318,0.16795434057712555,0.4369191030945018,0.12539847537512336,0.2828165571725715
1319,0.14079149067401886,0.6836115515779538,0.6879501525384335,0.6115334078906265
1320,0.09206192195415497,0.8218512007591297,0.6008796793189315,0.8470653032710147
1322,0.390198290348053,0.42152445026216384,0.5459502371270417,0.3966357655119901
1324,0.15069161355495453,0.6210663468934949,0.4099031570241209,0.7413243081273901
1325,0.0719255805015564,0.868857399934277,0.7824078987927223,0.8481347924764544
1326,0.05821844935417175,0.8147547172658703,0.5753411058452718,0.834153805619536
1327,0.1732102632522583,0.7213985791242389,0.800695394471765,0.7030819162777757
1329,0.23265156149864197,0.5005626284817826,0.38084951644219134,0.378202779551553
133,0.04156850278377533,0.771099718397185,0.3272210229593995,0.6704135997051288
1330,0.17176784574985504,0.48411591756918065,0.2085298703825928,0.543188762226105
1331,0.11737268418073654,0.7240919039734758,0.7543445530431859,0.7145506346972255
1332,0.023183858022093773,0.7224276090713772,0.31153472434174484,0.807639284546597
1333,0.11044363677501678,0.7574750626734212,0.6028830112828962,0.7612131430901308
1334,0.13677963614463806,0.6110584644827213,0.4063064489366594,0.6548550720911658
1335,0.14607840776443481,0.5875985617370257,0.35613397888165144,0.7476009051841815
1336,0.19917181134223938,0.5346644551240506,0.4491390178927341,0.49855178147511847
1337,0.16638793051242828,0.4299875619112509,0.07606446026557831,0.7722074673644869
1338,0.14990435540676117,0.6594945803434058,0.5870213537682387,0.5933660761827017
1339,0.09071531891822815,0.48337869817848006,0.14269535682759787,0.7762505033590401
1341,0.196529820561409,0.561841779203542,0.37684142470469006,0.5502883616952383
1343,0.03591658174991608,0.5789633889469192,0.04625188703357863,0.4908075339973023
1347,0.18806861340999603,0.7166642530260986,0.7944448781494534,0.6961856725615536
1348,0.07403060793876648,0.6338490176771627,0.4280118408072284,0.6501208978562654
1353,0.25025850534439087,0.5394367167352105,0.6377310223148868,0.5147942483811783
1354,0.06841003894805908,0.7241209866086724,0.4326610588922936,0.7804249288877511
1356,0.2100330889225006,0.5112305933401694,0.38508484419723166,0.4908843379996071
1359,0.08128444105386734,0.7136791866000411,0.6574718484485197,0.6924857215284599
1362,0.04052404314279556,0.7698583913107094,0.6288689588653923,0.7088125687600452
1364,0.03868436440825462,0.602993165684846,0.16069722836757042,0.7084001640290963
1367,0.0966753140091896,0.7172902585737524,0.493468308909869,0.7818501611283251
1370,0.0756591334939003,0.6719801321181641,0.3341089806301752,0.8170647290687042
1371,0.09201952815055847,0.6074519230730706,0.3827845509497987,0.792754401693889
1372,0.041258882731199265,0.6962422586633752,0.3292538934433992,0.7025235641030668
1373,0.06686417758464813,0.6749356185756801,0.3633128228596334,0.8065887261911854
1374,0.023983994498848915,0.5431179613285172,0.05513388035911111,0.32912781736945734
1375,0.11224013566970825,0.6070634748146728,0.3326892514477661,0.7191058874377909
1376,0.05501113086938858,0.8557313675777143,0.5602986968670677,0.8720539527763111
1377,0.04275291785597801,0.717378396628076,0.4372712324309076,0.8875623524715827
1379,0.09997240453958511,0.6361738370560859,0.32337060853203164,0.7165617451703704
1380,0.08173062652349472,0.620481179878362,0.17774984032102611,0.6382640247387095
1381,0.09958082437515259,0.6850508366988166,0.4013080928685396,0.8130915536301325
1382,0.09785791486501694,0.743113255246955,0.37064482471275273,0.7739475105828717
1384,0.061560772359371185,0.5318505519714958,0.19595099984726935,0.39163902601746314
1385,0.08131678402423859,0.7630122673158586,0.5540773038090892,0.7305813635453124
1386,0.13455088436603546,0.7412131205279701,0.7946015550701734,0.7408584585794656
1388,0.02271399088203907,0.4882733263707268,0.014558421600294276,0.3069521236127253
1389,0.0574859119951725,0.8655174719811543,0.7023567566223153,0.8832648038267668
139,0.05799382925033569,0.6392530242086166,0.3250462195377512,0.601315288521131
1390,0.07733054459095001,0.5844262456837162,0.3445633146272537,0.46838693410522475
1392,0.327159583568573,0.41798123682320604,0.4141010880633608,0.36563797441818124
1393,0.05567935109138489,0.5458899784135263,0.11993971247769931,0.6025442347936496
1396,0.037176117300987244,0.5448097653157564,0.12108491276602065,0.32569898130649866
1398,0.040360260754823685,0.5670003673131664,0.15221878424078666,0.5899160970309929
140,0.04686838388442993,0.8580924545886592,0.6037861949546828,0.8831034568046696
1400,0.06299549341201782,0.7318701021763612,0.33231874400391415,0.7838264671627745
1401,0.048687342554330826,0.6256776063632388,0.40783964524250843,0.5660473015065379
1402,0.11753077805042267,0.741427127649442,0.6761179508100477,0.6681813635715862
1403,0.03946053609251976,0.9211429990412969,0.8054996838255737,0.9205390040127231
1404,0.16063609719276428,0.6625924196828796,0.3278790229804273,0.7137544590860809
