image,MAE,Sm,wFm,Em
COD10K-CAM-1-Aquatic-1-BatFish-2,0.12261314690113068,0.7829476726800548,0.6671008782482531,0.794080650517569
COD10K-CAM-1-Aquatic-1-BatFish-4,0.21117804944515228,0.5890075766884266,0.6624870285497293,0.5781236207857825
COD10K-CAM-1-Aquatic-1-BatFish-5,0.10456926375627518,0.7823380232089289,0.7251743953205908,0.8094725671064383
COD10K-CAM-1-Aquatic-1-BatFish-6,0.050197627395391464,0.7760311896257354,0.3014395467112515,0.7514990291368109
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-416,0.13082030415534973,0.618810546022111,0.24831232930795571,0.6866169909200286
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-419,0.20249661803245544,0.39544474384691125,0.0668908238286213,0.6174566933406965
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-422,0.2025270164012909,0.5543163193446538,0.539887443710282,0.5750700393106687
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-423,0.2513400912284851,0.5205576732176739,0.49546245369656167,0.5366951320044806
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-429,0.3916377127170563,0.3179607978899878,0.14424835080886214,0.27129780093443706
COD10K-CAM-1-Aquatic-11-Octopus-430,0.12949974834918976,0.7473736011292105,0.6480654126227082,0.7270051742554665
COD10K-CAM-1-Aquatic-11-Octopus-436,0.26113176345825195,0.58041648026262,0.5920955628672802,0.5182301779363108
COD10K-CAM-1-Aquatic-11-Octopus-437,0.261778324842453,0.6200885408574359,0.6901042009495383,0.5669340536058032
COD10K-CAM-1-Aquatic-11-Octopus-441,0.14970476925373077,0.7556545538596255,0.729939553407748,0.7181702261792432
COD10K-CAM-1-Aquatic-11-Octopus-444,0.1368240863084793,0.7951774712795809,0.6867636300325566,0.7852081532380935
COD10K-CAM-1-Aquatic-11-Octopus-445,0.11502935737371445,0.6601566298020372,0.3649659165777293,0.7712983924086031
COD10K-CAM-1-Aquatic-11-Octopus-447,0.108778215944767,0.6471901447387352,0.21776369445543425,0.6342759863816968
COD10K-CAM-1-Aquatic-11-Octopus-451,0.09548743069171906,0.7206640689747285,0.28876667346994744,0.7000498544015212
COD10K-CAM-1-Aquatic-11-Octopus-452,0.07596015930175781,0.7728745603257821,0.4612190068169938,0.6503517314200755
COD10K-CAM-1-Aquatic-11-Octopus-453,0.1235799565911293,0.792304436505743,0.577539057047981,0.8095885946015713
COD10K-CAM-1-Aquatic-11-Octopus-454,0.1355150192975998,0.48700178490166157,0.023737034225394537,0.3567604856340628
COD10K-CAM-1-Aquatic-11-Octopus-458,0.3382722735404968,0.35881858651573045,0.2601343852054793,0.3110773281506472
COD10K-CAM-1-Aquatic-11-Octopus-462,0.14947159588336945,0.8118864893398463,0.7947806233416547,0.8005817603832144
COD10K-CAM-1-Aquatic-11-Octopus-463,0.20464277267456055,0.6832888409702527,0.7094337423816932,0.6886634980180121
COD10K-CAM-1-Aquatic-11-Octopus-464,0.07077565044164658,0.8769544849871849,0.7140769248741196,0.8736273081462367
COD10K-CAM-1-Aquatic-11-Octopus-465,0.2250949889421463,0.47953472344000775,0.23121786608138534,0.6919870897610976
