image,MAE,Sm,wFm,Em
1002,0.05383783206343651,0.71821554780869,0.5976178442765133,0.6954242460864988
1003,0.10272645205259323,0.6363318179957258,0.6242336738267031,0.5688119376853147
1004,0.17216770350933075,0.537826752583666,0.07994227244587811,0.44309213804657527
1005,0.19366227090358734,0.4052952361632123,0.013897250326842206,0.24944145042650623
1006,0.5185287594795227,0.27129786410764833,0.22637971934502266,0.27873129298295013
1007,0.0455235093832016,0.4965533596066478,0.01972795242400074,0.36563661414515447
1008,0.051125623285770416,0.5331824317590375,0.2385973546863533,0.3753477869608403
1009,0.03434409201145172,0.8861194199015032,0.7596345320228103,0.8449184848537137
101,0.11915373802185059,0.43297114646721857,0.0960802998049206,0.6988714326511377
1010,0.047807637602090836,0.515942892472206,0.01782554428313885,0.3675506050623376
1011,0.022775832563638687,0.9108451139905501,0.6070537066403254,0.9106643739311753
1014,0.3139408230781555,0.49719780730238733,0.5709130157947658,0.4506923471389814
1015,0.029134400188922882,0.7753097923925663,0.4687687394079683,0.8227687443597085
1016,0.1634245067834854,0.5059442230636348,0.46263719547588616,0.44909364210933767
1017,0.08455973118543625,0.541764006312815,0.13669512431770275,0.745945265028588
1018,0.201462060213089,0.7598839795909249,0.7348261207063542,0.7306252421091112
1019,0.032562896609306335,0.49159502590709486,0.07910400993385096,0.27545202885375897
102,0.06298819929361343,0.8687588872823975,0.5632031654300044,0.8654699933489101
1021,0.09385267645120621,0.4665382043733979,0.1717461837630487,0.298291222030059
1022,0.09210804104804993,0.4683840026689865,0.19226237532913967,0.305164632619355
1023,0.017920324578881264,0.5278425510173019,0.03151855923725332,0.5198570140498457
1024,0.07836077362298965,0.7739441862678977,0.3956040649957587,0.7588379181136627
1025,0.3971938192844391,0.3283900600571046,0.25232425495017363,0.29200731445681416
1027,0.22084075212478638,0.644448585413651,0.6431479014049999,0.5774403349018925
1030,0.28669673204421997,0.48125791687202013,0.39558641581202003,0.4239463716813068
1031,0.040142860263586044,0.8994432096405456,0.6601079051888998,0.9178509050867961
1033,0.032720182090997696,0.7963184557315006,0.41021381543746016,0.8494244519488254
1035,0.009966566227376461,0.9536053632429345,0.7018358459989716,0.9326063124581839
104,0.04405146464705467,0.7392405684929715,0.6257400317065772,0.7848790147145602
1040,0.0757281556725502,0.6841503037190599,0.5418127142013601,0.5480070005954831
1042,0.024835675954818726,0.7954208069995066,0.6852332502131341,0.8833667170187307
1045,0.1659509390592575,0.46357574155660614,0.33241619955082574,0.3698033500728273
1046,0.17580996453762054,0.7337694429609973,0.7090561680620191,0.6799376410728353
1049,0.06637625396251678,0.4685365522159315,0.016789593912125755,0.2530500118863186
1050,0.10607370734214783,0.45137485218160683,0.049159201394842984,0.26993291387259716
1051,0.14177095890045166,0.7879421263807214,0.6615617862072044,0.750785758709353
1052,0.03514547273516655,0.5884870550673814,0.17814611414429,0.5806034707312882
1055,0.09717001765966415,0.5355904207977449,0.18955803805821722,0.8243359001274089
1056,0.04053986072540283,0.8848539546949443,0.6555511057872309,0.7894698895216714
1057,0.07367211580276489,0.7016456124954189,0.5660535104048248,0.821635459268315
1058,0.05389472097158432,0.47637134837916134,0.03691879783383168,0.2598593175562488
1059,0.11571133136749268,0.8657144037556612,0.753156387466256,0.8012066685934869
106,0.012147126719355583,0.8454194810312092,0.42853100125530763,0.8690235384152342
1063,0.23118260502815247,0.41575771476917417,0.2861235130115145,0.3271635771499771
1064,0.039909038692712784,0.8888588696531421,0.7723783060423046,0.821572076025254
1065,0.027985693886876106,0.772675118726246,0.7898065258969948,0.7952399844957379
1066,0.03801647573709488,0.7735793520051694,0.3628449688917002,0.8175340774066568
1067,0.1382124125957489,0.5399304296091221,0.4563617398761068,0.48527099330758894
1068,0.1302780658006668,0.4368904570560896,0.01765541530668581,0.2498513074828316
107,0.009312991052865982,0.8855324654317537,0.5399753343041646,0.8740680960706595
1070,0.20444023609161377,0.5977572338046244,0.48139979227170876,0.6509348532965746
1071,0.07723742723464966,0.790014459064788,0.542963746084026,0.8454382764956321
1072,0.10698894411325455,0.8183776359201971,0.7519758958671441,0.8316237502666515
1073,0.20046468079090118,0.6080385943378058,0.6564521202461534,0.5476030810878982
1074,0.17467772960662842,0.4148447897985272,0.014836115971105181,0.24930268755346044
1075,0.01971973478794098,0.9126412186229063,0.8689870814688712,0.9011522589601731
1076,0.17547574639320374,0.7572274093262874,0.5354857427353945,0.7339575662024576
1077,0.1016717329621315,0.7739585142166244,0.49750125275325635,0.7635710333611937
1078,0.05434040725231171,0.4746333244562274,0.011775779437929011,0.2501507066642665
1079,0.002968133194372058,0.9460499867682547,0.8023594572644429,0.962587311398432
1081,0.08990990370512009,0.4301552141730335,0.005820289895070142,0.5688050891983438
1085,0.050001952797174454,0.7749659114399388,0.789668565461091,0.8512577094854026
1086,0.10732101649045944,0.9128446505989933,0.8008228770842832,0.8539430918307906
1087,0.03962162509560585,0.7104901251243048,0.5019732773627966,0.848645843603098
1088,0.025960557162761688,0.46749984158641933,9.028431937368214e-05,0.3259221494177077
1089,0.01266797911375761,0.9096270872625023,0.9035134193828462,0.9200892617062204
1090,0.1561669409275055,0.42421045830888315,0.02401448820468035,0.2521323817668253
1091,0.10892049223184586,0.742780110448786,0.48836636441970016,0.8334007428596354
1092,0.28667616844177246,0.5138808288636946,0.5398827165799236,0.48669879361506957
1093,0.1369497925043106,0.42867260504505766,0.001530551698096279,0.36525235619226915
1094,0.09554456174373627,0.7877053642278662,0.5504649941404246,0.8258946577967732
1095,0.05039050057530403,0.9509268115795579,0.8876350201646075,0.9142275412475789
1096,0.10519615560770035,0.8331240164444479,0.8042017229032586,0.7869088711892218
1097,0.007410380057990551,0.9041569735643706,0.6416113411402498,0.938702628680878
1098,0.01678146794438362,0.9187708784271289,0.7700636197613306,0.9469408070499473
1099,0.16472221910953522,0.42059095113641953,0.03502816681716721,0.253740304417318
11,0.030002666637301445,0.48692274492245585,0.010210566412854085,0.250135584827773
1101,0.21770960092544556,0.5706838990715963,0.15968022848297014,0.5180875025144749
1102,0.0664098709821701,0.8528226214623074,0.788786260835074,0.8643673903987655
1103,0.011233418248593807,0.8236556089280741,0.3153340186219637,0.7387546047418794
1104,0.04869997128844261,0.8829903792655209,0.635462813268493,0.8732447711191281
1105,0.432831734418869,0.4706590492205631,0.6894486456721267,0.4096533473240074
1106,0.057692576199769974,0.6313538435030435,0.2195750330346201,0.6526282003748429
1107,0.032205767929553986,0.9049032090816868,0.5681300492022346,0.8567260335512892
1108,0.01893296279013157,0.63448524727641,0.27867436406745777,0.8362556940933337
1109,0.19296795129776,0.4074025667688597,0.056078397633952025,0.26124454003980335
111,0.026566162705421448,0.600094449209627,0.25837837210578146,0.8634399257485739
1110,0.45470941066741943,0.5095931957137967,0.7379438382275693,0.3919676950789551
1111,0.055328164249658585,0.8485703582461718,0.5603787882425691,0.8756785259429198
1112,0.09193173795938492,0.6501710528122402,0.3690745736072439,0.5226080784703048
1113,0.09138303995132446,0.734713123157698,0.4574851389173215,0.8353193905762546
1114,0.09952390938997269,0.8728756300935668,0.6277856638293394,0.7762752813439319
1115,0.016037091612815857,0.8467841009931685,0.4852953613158181,0.9004961143027672
1116,0.08927138894796371,0.7405849570272987,0.31714869621984054,0.6921034178913357
1117,0.016020476818084717,0.7996845552307881,0.4901396752851794,0.9014636380057042
1118,0.08989398926496506,0.45735216285646463,0.022351489344732703,0.25331343906679715
1119,0.4847104549407959,0.4454703082271477,0.6259389434052715,0.33747949842801495
1120,0.019155675545334816,0.9614510915726782,0.8267850056838589,0.9391158284921364
1121,0.03216451779007912,0.8359844531191505,0.5591826847551166,0.8769704346894851
1122,0.041976604610681534,0.5438514074940151,0.0388815024191042,0.5869212454538754
1123,0.03545742854475975,0.741415783290128,0.4161331290492337,0.5253796944728373
1124,0.03917665407061577,0.8660775692129524,0.5506461301777138,0.8634790891699036
1126,0.015132774598896503,0.8877333246040662,0.7440948622870289,0.9509207511724795
1127,0.07038585096597672,0.5531794486173456,0.2887987711459372,0.6513069083433156
1128,0.23668870329856873,0.3848138418451245,0.04405241051335079,0.25729309413084056
1129,0.03856796771287918,0.7964238547337175,0.6509029155437888,0.867465116838258
1130,0.18790096044540405,0.409016482373455,0.034527618140183756,0.25320725274829226
1131,0.03855142369866371,0.7657934644390533,0.31646298663227723,0.7668468321776911
1132,0.0466168075799942,0.8294620176278611,0.5220410520092376,0.8683982902249181
