image,MAE,Sm,wFm,Em
COD10K-CAM-1-Aquatic-1-BatFish-2,0.0967436283826828,0.8285928859378533,0.7287563343156811,0.856723310200088
COD10K-CAM-1-Aquatic-1-BatFish-4,0.1706167757511139,0.7217456662036223,0.7466447000710824,0.6909168791455845
COD10K-CAM-1-Aquatic-1-BatFish-5,0.11112970113754272,0.7509765433130151,0.7054979008838147,0.8065716984898949
COD10K-CAM-1-Aquatic-1-BatFish-6,0.03748166561126709,0.7560267397441693,0.4058498855401928,0.8516711211052619
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-416,0.05831925943493843,0.6799747935887119,0.5220179117628837,0.8304084017151794
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-419,0.20874422788619995,0.4023867758979039,0.10124753423547084,0.6582314353471239
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-422,0.196370467543602,0.5592147617663235,0.5663476816534266,0.6203675495066907
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-423,0.26084062457084656,0.4819877160817592,0.4414547178443286,0.4454144006088814
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-429,0.34925076365470886,0.45188794262031523,0.42826984314511085,0.3800049996201875
COD10K-CAM-1-Aquatic-11-Octopus-430,0.10082356631755829,0.8242910188595259,0.6725329791108137,0.849143387048001
COD10K-CAM-1-Aquatic-11-Octopus-436,0.18682415783405304,0.7363567194685099,0.7509379311660388,0.6960894355268297
COD10K-CAM-1-Aquatic-11-Octopus-437,0.17949463427066803,0.7952488029403535,0.8024747122738982,0.7270242964025828
COD10K-CAM-1-Aquatic-11-Octopus-441,0.12193464487791061,0.854213848577263,0.7236489590559779,0.7818528908105152
COD10K-CAM-1-Aquatic-11-Octopus-444,0.11474096775054932,0.8383678078253411,0.6544184882723871,0.8368120890279598
COD10K-CAM-1-Aquatic-11-Octopus-445,0.06896539777517319,0.8082727816925394,0.6169000933688138,0.8917450932748796
COD10K-CAM-1-Aquatic-11-Octopus-447,0.053457338362932205,0.7881150085236517,0.334342355794464,0.6749912884389483
COD10K-CAM-1-Aquatic-11-Octopus-451,0.03390030190348625,0.8766263109885957,0.6652829553019067,0.8597490753290896
COD10K-CAM-1-Aquatic-11-Octopus-452,0.06530050933361053,0.8483798836274827,0.5227885813522027,0.7606454401351044
COD10K-CAM-1-Aquatic-11-Octopus-453,0.1330954134464264,0.7578632149670659,0.5762590119521911,0.7744193333813543
COD10K-CAM-1-Aquatic-11-Octopus-454,0.06421688199043274,0.4502251606090104,0.006168751707683034,0.5560930537357167
COD10K-CAM-1-Aquatic-11-Octopus-458,0.1212526187300682,0.8629826260417406,0.8007103446925252,0.8327806293750477
COD10K-CAM-1-Aquatic-11-Octopus-462,0.15099714696407318,0.8199593608916584,0.8017202357278842,0.7846810367335233
COD10K-CAM-1-Aquatic-11-Octopus-463,0.2768987715244293,0.5547571579802731,0.5391374217809436,0.49080620175866363
COD10K-CAM-1-Aquatic-11-Octopus-464,0.08579838275909424,0.864989849185779,0.6564620501543993,0.8456589891504489
COD10K-CAM-1-Aquatic-11-Octopus-465,0.13487574458122253,0.6769764341604493,0.5059104953040245,0.6957560595493053
COD10K-CAM-1-Aquatic-11-Octopus-466,0.025408539921045303,0.8010568617011924,0.27236437418343207,0.6957979316202305
COD10K-CAM-1-Aquatic-11-Octopus-468,0.06692778319120407,0.9083517778041261,0.7598744226804192,0.8601511445182463
COD10K-CAM-1-Aquatic-11-Octopus-471,0.03954099863767624,0.6597577313558352,0.634611935285221,0.6315403631690335
COD10K-CAM-1-Aquatic-11-Octopus-472,0.29678627848625183,0.46707108444533274,0.49001840484030884,0.40759274792242395
COD10K-CAM-1-Aquatic-11-Octopus-473,0.1983395218849182,0.7354291325878921,0.7408210953516537,0.7571679823527051
COD10K-CAM-1-Aquatic-12-Pagurian-474,0.20005205273628235,0.5518883594437434,0.13709733978163285,0.4784189668535331
COD10K-CAM-1-Aquatic-12-Pagurian-481,0.10628673434257507,0.47708792684774975,0.008910048482706516,0.46795586553347635
COD10K-CAM-1-Aquatic-12-Pagurian-482,0.1689165234565735,0.5806061951402377,0.19963833976425402,0.5573585491121189
COD10K-CAM-1-Aquatic-12-Pagurian-483,0.07522743195295334,0.8280181106892381,0.5745144747823872,0.8249884340330927
COD10K-CAM-1-Aquatic-12-Pagurian-484,0.2630123198032379,0.5060754625431642,0.4927387553554541,0.45378252342229497
COD10K-CAM-1-Aquatic-12-Pagurian-486,0.021348539739847183,0.7369925019484189,0.23025883157790025,0.6364887580695016
COD10K-CAM-1-Aquatic-13-Pipefish-488,0.09278645366430283,0.6889273834972012,0.3855671611579585,0.6758842882760172
COD10K-CAM-1-Aquatic-13-Pipefish-490,0.05191272124648094,0.5323298714590756,0.4513495576585786,0.6239792198050997
COD10K-CAM-1-Aquatic-13-Pipefish-492,0.022796759381890297,0.49324757337139874,0.0066519006186126625,0.37285005394019044
COD10K-CAM-1-Aquatic-13-Pipefish-496,0.04373711720108986,0.8014294105785871,0.5397575045459293,0.9060307473558499
COD10K-CAM-1-Aquatic-13-Pipefish-497,0.0509231872856617,0.8283788888177914,0.6144568144391405,0.8436646189061376
COD10K-CAM-1-Aquatic-13-Pipefish-500,0.111363984644413,0.4436710752146586,0.04469187508141674,0.5242406643037737
COD10K-CAM-1-Aquatic-13-Pipefish-501,0.08237089961767197,0.5889443472536142,0.15232442951367484,0.6176536272081771
COD10K-CAM-1-Aquatic-13-Pipefish-502,0.09609871357679367,0.4437668199702449,0.018280416173588703,0.651901703342681
