image,MAE,Sm,wFm,Em
COD10K-CAM-1-Aquatic-1-BatFish-2,0.11231544613838196,0.7910175794924825,0.7384918181947862,0.7833835308558822
COD10K-CAM-1-Aquatic-1-BatFish-4,0.19577652215957642,0.6236423635210997,0.7068053976095998,0.6198027197470977
COD10K-CAM-1-Aquatic-1-BatFish-5,0.10197942703962326,0.7802624776108942,0.735754559259926,0.8235488503375101
COD10K-CAM-1-Aquatic-1-BatFish-6,0.02948063053190708,0.8046852440509107,0.5050734082579988,0.8493389687678122
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-416,0.07090440392494202,0.6959338990355758,0.44299488620792016,0.8681037306699202
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-419,0.2102738320827484,0.4416921139807471,0.138079195215785,0.7031642120536836
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-422,0.19571657478809357,0.6226793574817704,0.56053832869822,0.6618732265889604
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-423,0.2548312842845917,0.49279223809219336,0.47342448187383906,0.48466644867174336
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-429,0.3698268234729767,0.39395679411346385,0.3328265293427852,0.339910880242671
COD10K-CAM-1-Aquatic-11-Octopus-430,0.1060086116194725,0.7915058798404515,0.649988575780568,0.8565598194826743
COD10K-CAM-1-Aquatic-11-Octopus-436,0.28320345282554626,0.49279561339219385,0.5264955805640836,0.4390969675459518
COD10K-CAM-1-Aquatic-11-Octopus-437,0.19308529794216156,0.7695552045473826,0.7844879175904175,0.7086586200333802
COD10K-CAM-1-Aquatic-11-Octopus-441,0.14310894906520844,0.794056854158058,0.7099851474810441,0.7588240755448679
COD10K-CAM-1-Aquatic-11-Octopus-444,0.1413654386997223,0.7779876311186198,0.7001167548775412,0.7637090602697003
COD10K-CAM-1-Aquatic-11-Octopus-445,0.096230648458004,0.6876673969646541,0.458026883464645,0.8340140239638878
COD10K-CAM-1-Aquatic-11-Octopus-447,0.11913083493709564,0.6152463215052358,0.20583159239545037,0.5931832874270517
COD10K-CAM-1-Aquatic-11-Octopus-451,0.1180168017745018,0.6426015827932587,0.2116281840101847,0.7314698505045534
COD10K-CAM-1-Aquatic-11-Octopus-452,0.06513453274965286,0.8583374325033774,0.5320336500428823,0.7328521353574537
COD10K-CAM-1-Aquatic-11-Octopus-453,0.12769100069999695,0.7871619371886378,0.5662398888342869,0.7879612303910137
COD10K-CAM-1-Aquatic-11-Octopus-454,0.16769661009311676,0.41867071975159553,0.007971359433376424,0.3383753811541854
COD10K-CAM-1-Aquatic-11-Octopus-458,0.27037081122398376,0.5212407127815915,0.5874097509837571,0.4786887998379506
COD10K-CAM-1-Aquatic-11-Octopus-462,0.17868958413600922,0.7677203771670034,0.7429191058276844,0.7530717830052731
COD10K-CAM-1-Aquatic-11-Octopus-463,0.2560155391693115,0.5366515764287236,0.6119361364816723,0.5068102362797402
COD10K-CAM-1-Aquatic-11-Octopus-464,0.07755646854639053,0.8796296346195382,0.7507812329141333,0.7977220342835492
COD10K-CAM-1-Aquatic-11-Octopus-465,0.20324070751667023,0.5136515621752947,0.2537864121032058,0.6261601964760175
COD10K-CAM-1-Aquatic-11-Octopus-466,0.08474087715148926,0.5437333288976538,0.12811686917146634,0.5109189605820597
COD10K-CAM-1-Aquatic-11-Octopus-468,0.11055316776037216,0.7100603621717438,0.669050778565475,0.7048420902538198
COD10K-CAM-1-Aquatic-11-Octopus-471,0.061199869960546494,0.7810402477662997,0.3620501923566163,0.7604280018574483
COD10K-CAM-1-Aquatic-11-Octopus-472,0.2237558215856552,0.6819914890965597,0.7063611579424479,0.6001136431474112
COD10K-CAM-1-Aquatic-11-Octopus-473,0.23640601336956024,0.6410652364909225,0.7600412785253162,0.6487754565069638
COD10K-CAM-1-Aquatic-12-Pagurian-474,0.18499340116977692,0.5480352300381797,0.14763317119928945,0.5025633502649358
COD10K-CAM-1-Aquatic-12-Pagurian-481,0.12572729587554932,0.503956151838077,0.033719627623897123,0.3551615057621574
COD10K-CAM-1-Aquatic-12-Pagurian-482,0.10374841094017029,0.6724822795881971,0.29813418420281945,0.6930883563255533
COD10K-CAM-1-Aquatic-12-Pagurian-483,0.11344517022371292,0.7093268495339187,0.40190161929281354,0.7510086772514512
COD10K-CAM-1-Aquatic-12-Pagurian-484,0.23172518610954285,0.5992469787515062,0.5976293852172182,0.5656102774109925
COD10K-CAM-1-Aquatic-12-Pagurian-486,0.024096684530377388,0.599530342386376,0.11208562246109356,0.7581166781161843
COD10K-CAM-1-Aquatic-13-Pipefish-488,0.08889379352331161,0.6882728550142982,0.40004319528310334,0.5779534936745077
COD10K-CAM-1-Aquatic-13-Pipefish-490,0.09100382030010223,0.4539535572818982,0.0419754066523513,0.6329058487815784
COD10K-CAM-1-Aquatic-13-Pipefish-492,0.01804972253739834,0.4918137283694963,0.005975553727764374,0.45927829196785097
COD10K-CAM-1-Aquatic-13-Pipefish-496,0.1346498429775238,0.6038250070389151,0.19868790293861963,0.6532163512680977
COD10K-CAM-1-Aquatic-13-Pipefish-497,0.06784453243017197,0.7332173141327138,0.49134702590628004,0.824094385402631
COD10K-CAM-1-Aquatic-13-Pipefish-500,0.0912630632519722,0.4563279949194036,0.04525259838577557,0.5941530539101723
COD10K-CAM-1-Aquatic-13-Pipefish-501,0.06916491687297821,0.6368814330548016,0.16519567602066407,0.6968872282257992
COD10K-CAM-1-Aquatic-13-Pipefish-502,0.1391398012638092,0.43245125452783223,0.02883929157787453,0.46962631021031986
COD10K-CAM-1-Aquatic-13-Pipefish-503,0.08332816511392593,0.5697412556575787,0.13681601413901756,0.63522284945357
COD10K-CAM-1-Aquatic-13-Pipefish-508,0.1751125305891037,0.5346691993659511,0.16952196504901246,0.6895715131812538
COD10K-CAM-1-Aquatic-13-Pipefish-510,0.07238965481519699,0.7183855581113321,0.5700715188882836,0.8647260741622327
COD10K-CAM-1-Aquatic-13-Pipefish-515,0.16353027522563934,0.5809210594736911,0.2863880677995233,0.740483479760196
