image,MAE,Sm,wFm,Em
1002,0.07546821981668472,0.6063355376924001,0.3356825575418421,0.6390507446933565
1003,0.14744660258293152,0.42768997165687916,0.013775437905922292,0.25147865432306726
1004,0.07253147661685944,0.556597241150572,0.10495949645087209,0.6896433351485911
1005,0.19137051701545715,0.4059024462920658,0.024621246157299995,0.2541247679041531
1006,0.4730374813079834,0.3480322526910792,0.42276071125658937,0.3166782999825758
1007,0.06992609053850174,0.5857457180138166,0.07713141031958902,0.5428274535368751
1008,0.07425975054502487,0.6948200595755856,0.25202376552166406,0.7186896738449791
1009,0.07552025467157364,0.5458534450251857,0.23962244802838784,0.4494605708690266
101,0.09618622064590454,0.4401910209926951,0.021849897931026034,0.3728656841527894
1010,0.030814124271273613,0.5197002418669314,0.02069780617126375,0.45860814824992624
1011,0.08091840147972107,0.6805008511205025,0.19597969299628956,0.6238711316025717
1014,0.24143081903457642,0.6483096513064764,0.7407866998585846,0.6052956476006548
1015,0.04856113716959953,0.7197290407702512,0.2985477619120062,0.7690347092436343
1016,0.1980249285697937,0.43736796836910374,0.21369344051021538,0.41505653610046905
1017,0.06019614264369011,0.6050927249318434,0.24160597924974006,0.7782568859621037
1018,0.21246786415576935,0.7270056845887115,0.7824478805785526,0.6788631671148542
1019,0.03707294538617134,0.5250804505674532,0.10045340841210883,0.34067230959066763
102,0.07215513288974762,0.7260273150602261,0.608739611741577,0.7085366020754678
1021,0.09991124272346497,0.5579328909746493,0.26391298503115934,0.49591720272326223
1022,0.09339897334575653,0.48655943976828325,0.22636238739466968,0.32770712971242144
1023,0.02201835811138153,0.5587019235025262,0.06088207799355318,0.5139481557125473
1024,0.10524316877126694,0.6666628466792752,0.31235918776364063,0.6924324610660881
1025,0.31545689702033997,0.577236396303038,0.5922532700784969,0.47975544552613425
1027,0.2020423710346222,0.6719178174331376,0.7127673618425618,0.6159408451018745
1030,0.27653828263282776,0.5329079385702913,0.4345305858877145,0.44504324103093046
1031,0.03718902915716171,0.8888107884903753,0.7016008714607558,0.9261933045222035
1033,0.046809762716293335,0.5770561727212027,0.13013997473687391,0.4911363571658398
1035,0.01868649385869503,0.8162360377653926,0.5198600227169746,0.7308554898481909
104,0.054755326360464096,0.7535223879544981,0.495968654455774,0.8604639132048761
1040,0.05936678126454353,0.8067390214111321,0.6133149083815733,0.8420899212560717
1042,0.048596467822790146,0.4952869247735726,0.0868984726274723,0.2818851439673352
1045,0.15073110163211823,0.5458940516582999,0.47836689791719933,0.4705071799010453
1046,0.19547510147094727,0.6611387049534923,0.6714346937780585,0.6292341069117601
1049,0.0646393820643425,0.49044218865040784,0.13799502348307166,0.30200957981221493
1050,0.10257915407419205,0.45412789969611383,0.06378467388000349,0.2620279868423351
1051,0.2533303499221802,0.37875283724180964,0.09301676922955626,0.26842309101762973
