image,MAE,Sm,wFm,Em
COD10K-CAM-1-Aquatic-1-BatFish-2,0.10072126984596252,0.8157252174105367,0.7246258829938266,0.8475747006325294
COD10K-CAM-1-Aquatic-1-BatFish-4,0.18131768703460693,0.6921788411489807,0.7244842773163134,0.6650931779886773
COD10K-CAM-1-Aquatic-1-BatFish-5,0.12412139773368835,0.7163341841715511,0.666218918863269,0.769961228451492
COD10K-CAM-1-Aquatic-1-BatFish-6,0.037462521344423294,0.7412911058828069,0.4016883831168016,0.8438610673182887
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-416,0.059193894267082214,0.6882521669500228,0.5134055100709304,0.8316849686809415
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-419,0.21038459241390228,0.39606239024132517,0.09936857855705272,0.6720277255446229
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-422,0.1955823451280594,0.56601557390236,0.5686569434974076,0.6275594572572929
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-423,0.2616579532623291,0.4761190257385365,0.43463954381441255,0.4354629444752792
COD10K-CAM-1-Aquatic-10-LeafySeaDragon-429,0.3540349304676056,0.4407676178793727,0.40698472510008393,0.3694507608152818
COD10K-CAM-1-Aquatic-11-Octopus-430,0.09796295315027237,0.8300904039332038,0.6816257211308568,0.8537588667926307
COD10K-CAM-1-Aquatic-11-Octopus-436,0.1839168667793274,0.7405633497859804,0.7551912995207958,0.7059041165195507
COD10K-CAM-1-Aquatic-11-Octopus-437,0.17659421265125275,0.7997242967776739,0.8084765798658734,0.7305805280675284
COD10K-CAM-1-Aquatic-11-Octopus-441,0.11878800392150879,0.8600650564418172,0.7327627577460897,0.7865673696062525
COD10K-CAM-1-Aquatic-11-Octopus-444,0.11352340131998062,0.8442103266452912,0.6585773811209272,0.8362947395298506
COD10K-CAM-1-Aquatic-11-Octopus-445,0.06913285702466965,0.8048040238052762,0.6126940509100065,0.8921114784821186
COD10K-CAM-1-Aquatic-11-Octopus-447,0.05275484174489975,0.7975591702768661,0.3573598862038765,0.7078021336952877
COD10K-CAM-1-Aquatic-11-Octopus-451,0.03206087648868561,0.87534604063617,0.6969960692014799,0.8664985475200937
COD10K-CAM-1-Aquatic-11-Octopus-452,0.06398233771324158,0.8705455971237672,0.5253762350967082,0.7857892328782714
COD10K-CAM-1-Aquatic-11-Octopus-453,0.13716916739940643,0.7526234710095896,0.5605607013934798,0.7737997378789552
COD10K-CAM-1-Aquatic-11-Octopus-454,0.062376830726861954,0.45149857020523265,0.006387477290138989,0.5634951900243571
COD10K-CAM-1-Aquatic-11-Octopus-458,0.12405242025852203,0.8619063415130556,0.7885748100162188,0.8297814105196323
COD10K-CAM-1-Aquatic-11-Octopus-462,0.14868108928203583,0.8254386710583888,0.7945085506513562,0.7950374616839022
COD10K-CAM-1-Aquatic-11-Octopus-463,0.2700608968734741,0.572017561238338,0.5611812876717674,0.5104958269274339
COD10K-CAM-1-Aquatic-11-Octopus-464,0.08627020567655563,0.8587642226806651,0.6541069056803098,0.8492119051040588
COD10K-CAM-1-Aquatic-11-Octopus-465,0.12707149982452393,0.700810196318653,0.5455961784029957,0.7001669818369429
COD10K-CAM-1-Aquatic-11-Octopus-466,0.027271516621112823,0.7540327814079468,0.21637045145713363,0.5774029344110898
COD10K-CAM-1-Aquatic-11-Octopus-468,0.06739061325788498,0.9067887060097065,0.7575785145465883,0.8596118245859455
COD10K-CAM-1-Aquatic-11-Octopus-471,0.03844869136810303,0.6751591947938476,0.6471889803905028,0.6660681039492968
COD10K-CAM-1-Aquatic-11-Octopus-472,0.29686298966407776,0.46921563797467125,0.48984429541077773,0.4070958666394363
COD10K-CAM-1-Aquatic-11-Octopus-473,0.203144833445549,0.7272393678393672,0.7312374575461833,0.7530898555026986
COD10K-CAM-1-Aquatic-12-Pagurian-474,0.20015662908554077,0.5507414699821707,0.13486312211853113,0.4796232075291424
COD10K-CAM-1-Aquatic-12-Pagurian-481,0.12451190501451492,0.47452666417250405,0.010658692639173626,0.4299585303046981
COD10K-CAM-1-Aquatic-12-Pagurian-482,0.16646714508533478,0.5836424339626183,0.20270250703945866,0.5598163583823128
COD10K-CAM-1-Aquatic-12-Pagurian-483,0.07606670260429382,0.8146816332979336,0.5703638633755226,0.8266413819854452
COD10K-CAM-1-Aquatic-12-Pagurian-484,0.2584085166454315,0.5220110171788093,0.5129782376758288,0.4755347750744901
COD10K-CAM-1-Aquatic-12-Pagurian-486,0.01956387795507908,0.7639565012723752,0.24387629876652747,0.652955496420419
COD10K-CAM-1-Aquatic-13-Pipefish-488,0.10298249125480652,0.6250029771519664,0.3114029328095021,0.6159560520360203
COD10K-CAM-1-Aquatic-13-Pipefish-490,0.05333402007818222,0.5229399561769282,0.4207046589042461,0.5666075127182515
COD10K-CAM-1-Aquatic-13-Pipefish-492,0.019708024337887764,0.49435537728821743,0.006011700076824383,0.32790718564472354
COD10K-CAM-1-Aquatic-13-Pipefish-496,0.04384975880384445,0.7962281128595939,0.5395841271287638,0.905441615800041
COD10K-CAM-1-Aquatic-13-Pipefish-497,0.04930602386593819,0.8404641998497133,0.638639606983736,0.842725990205146
COD10K-CAM-1-Aquatic-13-Pipefish-500,0.11737360805273056,0.44047438930422556,0.045513360427318184,0.5091955547064052
COD10K-CAM-1-Aquatic-13-Pipefish-501,0.08551264554262161,0.5830095246192923,0.14809545490712187,0.6090920539585485
COD10K-CAM-1-Aquatic-13-Pipefish-502,0.09766629338264465,0.4427511491413539,0.01846880066665918,0.6454157568031721
COD10K-CAM-1-Aquatic-13-Pipefish-503,0.08091527223587036,0.5575605175862143,0.14018667841051355,0.6336902016425359
COD10K-CAM-1-Aquatic-13-Pipefish-508,0.10699798911809921,0.5381513213077544,0.2953890317149516,0.49078711113122603
COD10K-CAM-1-Aquatic-13-Pipefish-510,0.06770009547472,0.7390316784423769,0.5814763100942181,0.8742704780643547
COD10K-CAM-1-Aquatic-13-Pipefish-515,0.16563886404037476,0.5645293961821239,0.28918381427616446,0.7494755065398095
COD10K-CAM-1-Aquatic-13-Pipefish-517,0.15160757303237915,0.46850250512107844,0.06875737907732608,0.37938225865483666
COD10K-CAM-1-Aquatic-13-Pipefish-518,0.045825548470020294,0.7388178266654146,0.5105547509372139,0.8747316930386047
COD10K-CAM-1-Aquatic-13-Pipefish-520,0.05556721240282059,0.47328130999489115,0.015346142752712183,0.279803726561766
COD10K-CAM-1-Aquatic-13-Pipefish-521,0.047229472547769547,0.5039561179627058,0.06810733452654913,0.5953563111825684
COD10K-CAM-1-Aquatic-13-Pipefish-522,0.1172810047864914,0.4586292697326567,0.07490556406906587,0.44737949103735053
COD10K-CAM-1-Aquatic-13-Pipefish-527,0.0729290172457695,0.6548901711859949,0.254872347131794,0.728861632206227
COD10K-CAM-1-Aquatic-13-Pipefish-528,0.15425246953964233,0.4808464874571001,0.07628459209533942,0.5362126037641163
COD10K-CAM-1-Aquatic-13-Pipefish-529,0.06026456132531166,0.5065374548789954,0.10196958452664145,0.6771478153263631
COD10K-CAM-1-Aquatic-13-Pipefish-531,0.020233388990163803,0.5670577498491497,0.18362664865900452,0.7988971483467047
COD10K-CAM-1-Aquatic-13-Pipefish-532,0.06238507106900215,0.6051148600786098,0.28824656936700377,0.8221316980410153
COD10K-CAM-1-Aquatic-13-Pipefish-534,0.078689806163311,0.5639331122563751,0.15242982895081744,0.6456970685199922
COD10K-CAM-1-Aquatic-13-Pipefish-535,0.039729099720716476,0.4821409765043785,0.01717690272758632,0.2511393063232588
COD10K-CAM-1-Aquatic-13-Pipefish-536,0.07245886325836182,0.7669701994649616,0.5461476112890026,0.8791663368219056
COD10K-CAM-1-Aquatic-13-Pipefish-537,0.03227753937244415,0.7855108607513583,0.5011792358956934,0.8811516065987184
COD10K-CAM-1-Aquatic-13-Pipefish-539,0.015955526381731033,0.6252038656885277,0.27824949974230806,0.8529908950394526
COD10K-CAM-1-Aquatic-13-Pipefish-542,0.05341849848628044,0.5532184751542103,0.1620721779068792,0.7085765820139551
COD10K-CAM-1-Aquatic-13-Pipefish-544,0.046405985951423645,0.7203347271621383,0.6813131303281694,0.8493369236403194
COD10K-CAM-1-Aquatic-13-Pipefish-546,0.18155436217784882,0.5430851895331497,0.1673246559510676,0.6083048716526345
COD10K-CAM-1-Aquatic-13-Pipefish-547,0.08947178721427917,0.738991211662442,0.49481536472340104,0.8718916505017142
COD10K-CAM-1-Aquatic-13-Pipefish-549,0.12731949985027313,0.6090899597490396,0.288529239038913,0.7223117510282464
