comparison,metric,pooling,n_obs,t_stat,t_pvalue,wilcoxon_stat,wilcoxon_pvalue,sig_ttest,sig_wilcoxon
scratch_vs_init,MAE,pooled_image_seed,12000,-36.54883121339261,2.150416168489711e-277,20439743.5,0.0,**,**
scratch_vs_init,Sm,pooled_image_seed,12000,37.09238755791264,3.2900822022092237e-285,21819804.0,1.0465243512301626e-305,**,**
scratch_vs_init,wFm,pooled_image_seed,12000,40.306669288977595,0.0,3660334.0,0.0,**,**
scratch_vs_init,Em,pooled_image_seed,12000,19.15890955740654,1.2968552132060963e-80,27554070.0,8.348066489416849e-110,**,**
A3-NoDT_vs_A3-Full,MAE,pooled_image_seed,12000,4.73138504765382,2.2553731389338684e-06,33822377.5,9.133301884292272e-09,**,**
A3-NoDT_vs_A3-Full,Sm,pooled_image_seed,12000,0.7256134064263404,0.4680899516420657,35388865.0,0.10560082910706288,ns,ns
A3-NoDT_vs_A3-Full,wFm,pooled_image_seed,12000,1.8134491412231823,0.06978754788277611,9125134.0,0.4133593359278198,ns,ns
A3-NoDT_vs_A3-Full,Em,pooled_image_seed,12000,1.441871103660867,0.14936483782057675,33896243.0,0.0004598723898353649,ns,**
A3-NoGate_vs_A3-Full,MAE,pooled_image_seed,12000,3.196617077276936,0.0013940978918944246,33259475.5,4.852396410965558e-13,**,**
A3-NoGate_vs_A3-Full,Sm,pooled_image_seed,12000,-3.0644959656494914,0.0021852102175573557,33552535.0,1.0670109566275975e-10,**,**
A3-NoGate_vs_A3-Full,wFm,pooled_image_seed,12000,-2.3795574407694597,0.017348978371827486,8824659.0,0.0025752174559430904,*,**
A3-NoGate_vs_A3-Full,Em,pooled_image_seed,12000,-0.09928541239685314,0.9209133189833131,34263251.5,0.010278499514874364,ns,*
A3-NoAttn_vs_A3-Full,MAE,pooled_image_seed,12000,-2.4256104233765567,0.015297315808461076,35259646.0,0.05013769377640646,*,ns
A3-NoAttn_vs_A3-Full,Sm,pooled_image_seed,12000,8.29968797138072,1.1551720487335904e-16,34639686.0,0.0003276170834460318,**,**
A3-NoAttn_vs_A3-Full,wFm,pooled_image_seed,12000,6.501871230504307,8.24726691730817e-11,8174035.0,7.8369966781145e-15,**,**
A3-NoAttn_vs_A3-Full,Em,pooled_image_seed,12000,5.183738610104996,2.2101681854382292e-07,35547979.5,0.2305243045765064,**,ns
A3-NoPseudoDT_vs_A3-Full,MAE,pooled_image_seed,12000,3.3446059671631008,0.0008265204763482552,34119499.0,6.935870535219454e-07,**,**
A3-NoPseudoDT_vs_A3-Full,Sm,pooled_image_seed,12000,-4.503940339302857,6.7334501318564965e-06,34117870.0,6.784139385869896e-07,**,**
A3-NoPseudoDT_vs_A3-Full,wFm,pooled_image_seed,12000,-5.104860256851484,3.3610845745066745e-07,8514496.0,1.281023428801431e-07,**,**
A3-NoPseudoDT_vs_A3-Full,Em,pooled_image_seed,12000,-0.12403553271661623,0.9012892188679116,34609090.0,0.019926070825733035,ns,*
